company_name,symbol
Adani Enterprises Ltd.,NSE:ADANIENT-EQ
Adani Ports and Special Economic Zone Ltd.,NSE:ADANIPORTS-EQ
Apollo Hospitals Enterprise Ltd.,NSE:APOLLOHOSP-EQ
Asian Paints Ltd.,NSE:ASIANPAINT-EQ
Axis Bank Ltd.,NSE:AXISBANK-EQ
Bajaj Auto Ltd.,NSE:BAJAJ-AUTO-EQ
Bajaj Finance Ltd.,NSE:BAJFINANCE-EQ
Bajaj Finserv Ltd.,NSE:BAJAJFINSV-EQ
Bharat Electronics Ltd.,NSE:BEL-EQ
Bharat Petroleum Corporation Ltd.,NSE:BPCL-EQ
Bharti Airtel Ltd.,NSE:BHARTIARTL-EQ
Britannia Industries Ltd.,NSE:BRITANNIA-EQ
Cipla Ltd.,NSE:CIPLA-EQ
Coal India Ltd.,NSE:COALINDIA-EQ
Dr. Reddy's Laboratories Ltd.,NSE:DRREDDY-EQ
Eicher Motors Ltd.,NSE:EICHERMOT-EQ
Grasim Industries Ltd.,NSE:GRASIM-EQ
HCL Technologies Ltd.,NSE:HCLTECH-EQ
HDFC Bank Ltd.,NSE:HDFCBANK-EQ
HDFC Life Insurance Company Ltd.,NSE:HDFCLIFE-EQ
Hero MotoCorp Ltd.,NSE:HEROMOTOCO-EQ
Hindalco Industries Ltd.,NSE:HINDALCO-EQ
Hindustan Unilever Ltd.,NSE:HINDUNILVR-EQ
ICICI Bank Ltd.,NSE:ICICIBANK-EQ
ITC Ltd.,NSE:ITC-EQ
IndusInd Bank Ltd.,NSE:INDUSINDBK-EQ
Infosys Ltd.,NSE:INFY-EQ
JSW Steel Ltd.,NSE:JSWSTEEL-EQ
Kotak Mahindra Bank Ltd.,NSE:KOTAKBANK-EQ
Larsen & Toubro Ltd.,NSE:LT-EQ
Mahindra & Mahindra Ltd.,NSE:M&M-EQ
Maruti Suzuki India Ltd.,NSE:MARUTI-EQ
NTPC Ltd.,NSE:NTPC-EQ
Nestle India Ltd.,NSE:NESTLEIND-EQ
Oil & Natural Gas Corporation Ltd.,NSE:ONGC-EQ
Power Grid Corporation of India Ltd.,NSE:POWERGRID-EQ
Reliance Industries Ltd.,NSE:RELIANCE-EQ
SBI Life Insurance Company Ltd.,NSE:SBILIFE-EQ
Shriram Finance Ltd.,NSE:SHRIRAMFIN-EQ
State Bank of India,NSE:SBIN-EQ
Sun Pharmaceutical Industries Ltd.,NSE:SUNPHARMA-EQ
Tata Consultancy Services Ltd.,NSE:TCS-EQ
Tata Consumer Products Ltd.,NSE:TATACONSUM-EQ
Tata Motors Ltd.,NSE:TATAMOTORS-EQ
Tata Steel Ltd.,NSE:TATASTEEL-EQ
Tech Mahindra Ltd.,NSE:TECHM-EQ
Titan Company Ltd.,NSE:TITAN-EQ
Trent Ltd.,NSE:TRENT-EQ
UltraTech Cement Ltd.,NSE:ULTRACEMCO-EQ
Wipro Ltd.,NSE:WIPRO-EQ
