timestamp,open,high,low,close,volume
2008-05-26,58.95,60.81,49.22,50.02,31454460
2008-05-27,49.61,60.02,48.25,54.49,43491440
2008-05-28,55.41,65.39,55.41,62.97,45887590
2008-05-29,64.51,69.07,59.73,62.13,45223020
2008-05-30,63.11,65.63,57.8,63.27,30576690
2008-06-02,63.86,68.67,61.11,67.49,22473990
2008-06-03,66.02,67.77,62.15,66.03,22993830
2008-06-04,66.22,66.22,55.67,58.84,28327250
2008-06-05,59.24,62.86,56.23,62.08,13447120
2008-06-06,62.8,63.16,59.74,61.98,7947220
2008-06-09,60.91,63.66,56.98,61.89,7583930
2008-06-10,60.72,66.32,60.72,65.75,9391800
2008-06-11,66.02,67.0,62.99,64.2,7507140
2008-06-12,61.8,62.73,59.05,59.53,4143200
2008-06-13,59.64,61.36,56.27,57.06,4585140
2008-06-16,58.46,60.72,57.7,60.33,4964390
2008-06-17,59.93,61.5,59.45,60.03,2488500
2008-06-18,60.42,60.64,57.48,58.16,1423860
2008-06-19,56.98,61.4,56.79,60.11,4680380
2008-06-20,59.24,60.74,52.27,54.52,2893520
2008-06-23,54.13,56.58,54.04,55.55,5149920
2008-06-24,55.56,56.2,52.76,53.95,2944670
2008-06-25,53.25,62.14,53.05,56.7,1242640
2008-06-26,56.79,58.95,56.79,57.99,1344580
2008-06-27,57.47,57.47,54.04,55.21,1709670
2008-06-30,55.51,56.0,51.09,52.84,1053790
2008-07-01,52.56,52.75,49.38,50.87,860300
2008-07-02,50.2,52.07,48.63,51.34,2253160
2008-07-03,48.65,50.48,43.82,47.01,2914840
2008-07-04,46.31,49.12,43.92,49.09,987070
2008-07-07,48.6,53.45,48.6,51.27,4221930
2008-07-08,46.75,50.89,46.75,50.2,2362810
2008-07-09,54.04,54.04,50.3,50.9,910410
2008-07-10,50.6,51.07,49.12,49.79,837230
2008-07-11,51.08,51.09,45.85,47.06,457640
2008-07-14,48.93,48.93,44.7,45.38,790490
2008-07-15,43.92,45.49,42.84,44.06,525500
2008-07-16,43.23,44.4,41.02,41.75,2693640
2008-07-17,43.13,43.13,40.78,41.44,3914810
2008-07-18,39.82,42.05,38.12,40.35,1669300
2008-07-21,40.38,41.42,40.09,40.35,1090560
2008-07-22,39.53,41.75,39.53,41.26,1250180
2008-07-23,42.54,44.21,42.05,43.02,5242500
2008-07-24,43.13,47.21,43.13,44.35,1468630
2008-07-25,42.84,44.7,42.84,43.84,390590
2008-07-28,42.93,44.41,42.45,42.84,151780
2008-07-29,42.74,42.74,41.85,42.23,539780
2008-07-30,40.12,43.47,40.12,42.99,143330
2008-07-31,42.15,43.92,42.15,43.49,138730
2008-08-01,42.25,44.2,41.56,43.52,236100
2008-08-04,42.37,44.7,42.37,44.47,121860
2008-08-05,44.47,46.67,43.03,45.97,156740
2008-08-06,45.68,48.83,45.68,47.37,462780
