timestamp,open,high,low,close,volume
2005-05-30,20.76,21.21,20.14,20.42,26663
2005-05-31,20.23,20.5,20.23,20.41,15392
2005-06-01,20.5,20.85,20.24,20.47,3146
2005-06-02,20.41,20.76,20.06,20.51,17773
2005-06-03,20.59,21.12,20.41,20.57,26521
2005-06-04,22.17,22.17,20.67,21.58,8230
2005-06-06,20.59,21.56,20.59,21.19,2315
2005-06-07,21.24,22.89,21.24,22.6,36961
2005-06-08,23.04,23.24,21.92,22.2,13175
2005-06-09,22.18,22.79,22.18,22.25,16217
2005-06-10,22.36,22.62,22.01,22.29,23609
2005-06-13,22.36,22.69,21.93,22.45,11100
2005-06-14,22.45,22.45,22.1,22.37,4459
2005-06-15,22.36,23.16,22.36,22.64,9195
2005-06-16,22.72,22.72,21.3,21.85,12243
2005-06-17,21.38,22.18,21.38,22.08,9162
2005-06-20,20.85,22.27,20.85,22.05,7079
2005-06-21,22.18,22.57,21.83,22.44,14218
2005-06-22,22.45,22.8,22.45,22.67,39812
2005-06-23,22.01,23.15,21.92,23.03,44036
2005-06-24,22.8,23.35,22.8,23.33,64747
2005-06-27,23.25,23.78,23.25,23.67,6793
2005-06-28,23.51,24.13,23.43,23.99,23804
2005-06-29,23.51,24.39,23.07,24.31,18238
2005-06-30,24.31,25.02,24.31,24.87,33542
2005-07-01,25.02,25.52,24.0,24.35,11903
2005-07-04,24.69,25.28,24.58,24.81,10401
2005-07-05,24.85,25.82,24.85,25.66,19474
2005-07-06,25.29,26.37,25.29,26.19,10614
2005-07-07,26.52,26.53,26.09,26.2,8345
2005-07-08,26.62,26.62,25.83,26.25,7000
2005-07-11,26.62,27.5,26.53,27.13,12313
2005-07-12,27.51,27.51,26.62,27.33,8911
2005-07-13,27.32,27.6,26.8,27.47,7947
2005-07-14,27.5,27.5,27.25,27.26,2767
2005-07-15,27.68,27.86,27.16,27.66,7514
2005-07-18,26.84,27.33,25.58,27.11,33846
2005-07-19,27.06,27.06,26.2,26.62,4069
2005-07-20,26.28,26.8,25.56,26.49,12144
2005-07-21,26.0,26.8,26.0,26.23,12045
2005-07-22,26.18,26.89,26.18,26.62,7422
2005-07-25,26.53,26.71,26.45,26.61,11675
2005-07-26,26.42,27.15,26.37,27.07,15827
2005-07-27,26.71,26.87,26.62,26.62,1417
2005-07-29,26.77,27.22,26.0,26.65,3731
2005-08-01,25.91,27.15,25.91,26.98,5696
2005-08-02,26.65,26.71,26.53,26.59,4891
2005-08-03,26.62,27.6,26.59,27.47,11044
2005-08-04,27.6,28.08,27.51,27.96,6786
2005-08-05,28.13,28.57,27.95,28.17,6131
2005-08-08,27.95,28.28,27.95,27.96,7461
2005-08-09,27.77,28.12,27.68,27.97,4133
2005-08-10,27.69,28.36,27.69,28.15,1759
2005-08-11,27.69,28.23,27.69,28.11,1660
