timestamp,open,high,low,close,volume
2005-05-30,8.06,8.06,7.75,7.82,49596
2005-05-31,7.85,8.07,7.79,8.0,241395
2005-06-01,7.74,8.06,7.74,7.98,130068
2005-06-02,7.77,7.99,7.74,7.89,12378
2005-06-03,7.83,7.93,7.8,7.84,61563
2005-06-04,8.03,8.03,7.81,7.85,9003
2005-06-06,7.84,7.96,7.79,7.83,55905
2005-06-07,8.13,8.9,7.81,7.83,40092
2005-06-08,7.38,7.88,7.38,7.78,82341
2005-06-09,7.78,7.88,7.76,7.78,363558
2005-06-10,7.88,7.88,7.7,7.71,55425
2005-06-13,7.71,7.71,7.58,7.61,45522
2005-06-14,7.68,7.68,7.58,7.59,495612
2005-06-15,7.77,7.77,7.48,7.49,99183
2005-06-16,7.54,7.58,7.48,7.48,41745
2005-06-17,7.78,7.78,7.38,7.48,88779
2005-06-20,7.48,7.48,7.24,7.28,174174
2005-06-21,7.27,7.46,7.27,7.44,85779
2005-06-22,7.57,7.57,7.34,7.37,137079
2005-06-23,7.41,7.45,7.36,7.37,202599
2005-06-24,7.38,7.67,7.17,7.45,1053051
2005-06-27,7.43,7.49,7.28,7.33,280773
2005-06-28,7.37,7.45,7.15,7.2,449661
2005-06-29,7.21,7.21,7.02,7.12,320028
2005-06-30,7.12,7.26,6.89,7.0,580392
2005-07-01,7.04,7.33,7.02,7.27,290895
2005-07-04,7.17,7.42,7.17,7.25,307806
2005-07-05,7.3,7.52,7.22,7.38,231399
2005-07-06,7.42,7.61,7.42,7.58,124371
2005-07-07,7.58,7.66,7.38,7.48,256341
2005-07-08,7.58,7.64,7.51,7.56,116475
2005-07-11,7.85,7.85,7.48,7.52,52287
2005-07-12,7.17,7.62,7.17,7.58,227859
2005-07-13,7.62,7.81,7.49,7.59,245718
2005-07-14,7.63,7.74,7.55,7.59,54150
2005-07-15,7.77,7.78,7.58,7.6,179214
2005-07-18,7.61,7.78,7.28,7.73,133245
2005-07-19,7.78,7.86,7.71,7.77,202251
2005-07-20,7.83,7.83,7.71,7.77,31362
2005-07-21,7.8,7.81,7.69,7.72,37965
2005-07-22,7.76,7.93,7.72,7.79,463410
2005-07-25,7.88,8.51,7.75,7.87,1310430
2005-07-26,7.93,7.93,7.51,7.58,341595
2005-07-27,7.48,7.73,7.42,7.61,55566
2005-07-29,7.63,7.65,7.33,7.38,136461
2005-08-01,7.42,7.58,7.41,7.55,46500
2005-08-02,7.55,7.86,7.48,7.72,254742
2005-08-03,7.73,7.99,7.73,7.86,357456
2005-08-04,7.93,8.09,7.88,7.96,101421
2005-08-05,7.88,8.07,7.83,7.85,188136
2005-08-08,7.66,7.98,7.63,7.66,28005
2005-08-09,7.72,7.82,7.58,7.61,36282
2005-08-10,7.63,7.77,7.63,7.72,69615
2005-08-11,7.93,8.03,7.73,7.73,199371
2005-08-12,7.68,7.81,7.66,7.72,72279
2005-08-16,7.68,7.75,7.63,7.66,70677
2005-08-17,7.81,7.81,7.63,7.65,125103
2005-08-18,7.88,7.88,7.55,7.58,65235
2005-08-19,7.71,7.71,7.48,7.51,83679
2005-08-22,7.62,7.64,7.44,7.46,57939
2005-08-23,7.48,7.55,7.2,7.25,86562
2005-08-24,7.42,7.42,7.08,7.1,136524
2005-08-25,7.15,7.26,7.04,7.08,301506
2005-08-26,7.21,7.58,7.13,7.27,132516
