timestamp,open,high,low,close,volume
2005-05-30,103.3,103.71,100.61,101.35,327818
2005-05-31,101.05,103.2,101.0,102.82,900529
2005-06-01,103.25,103.3,101.58,102.15,683307
2005-06-02,102.38,103.16,100.68,101.12,439225
2005-06-03,102.1,102.1,100.43,101.41,182955
2005-06-04,101.0,102.27,100.13,100.72,125472
2005-06-06,101.0,101.92,100.31,100.71,394822
2005-06-07,103.2,103.2,100.45,101.4,577253
2005-06-08,101.46,101.92,101.0,101.58,384296
2005-06-09,101.96,102.84,100.54,101.37,446343
2005-06-10,101.81,102.13,100.08,101.05,323935
2005-06-13,101.09,102.65,99.88,101.99,854529
2005-06-14,102.65,104.86,102.04,104.42,2460632
2005-06-15,104.67,111.1,104.44,110.07,3752405
2005-06-16,111.1,112.02,106.65,107.78,1288530
2005-06-17,107.01,108.51,106.28,107.29,732302
2005-06-20,108.3,110.6,106.97,108.02,1433689
2005-06-21,108.3,109.15,106.14,108.67,550808
2005-06-22,109.26,110.3,107.91,109.45,1204381
2005-06-23,109.72,111.01,108.37,109.45,1425620
2005-06-24,109.26,109.68,106.63,109.29,597265
2005-06-27,109.25,110.87,108.79,110.0,1486825
2005-06-28,110.64,112.14,109.86,110.81,2290789
2005-06-29,110.18,112.48,109.8,111.7,2107269
2005-06-30,111.79,113.35,111.1,111.61,1369622
2005-07-01,113.76,113.76,107.89,112.66,1057346
2005-07-04,112.94,114.08,105.5,113.7,1233676
2005-07-05,113.38,113.97,110.69,110.94,601298
2005-07-06,110.64,112.71,110.23,111.93,1171461
2005-07-07,112.94,113.35,109.08,110.62,712041
2005-07-08,111.1,119.35,110.41,116.24,3515615
2005-07-11,116.15,121.66,116.15,117.62,1953953
2005-07-12,118.45,120.74,114.36,118.66,2509481
2005-07-13,119.78,120.51,115.74,116.7,914977
2005-07-14,116.7,117.99,115.69,116.2,575438
2005-07-15,116.15,118.86,115.0,117.57,714587
2005-07-18,117.11,121.57,117.07,118.35,658948
2005-07-19,117.99,119.36,116.64,117.02,409044
2005-07-20,117.89,117.89,114.08,114.73,579376
2005-07-21,117.07,117.39,113.9,116.52,734542
2005-07-22,116.41,122.58,115.23,122.42,3602631
2005-07-25,119.41,124.41,119.41,122.76,1817062
2005-07-26,123.5,128.04,123.08,126.39,4001105
2005-07-27,127.63,127.63,124.85,125.61,1030828
2005-07-29,125.33,131.76,123.95,130.0,3477843
2005-08-01,130.0,143.7,129.03,131.47,1386212
2005-08-02,132.63,133.14,130.01,131.42,1034725
2005-08-03,132.59,132.59,128.66,130.2,1091584
2005-08-04,130.43,132.22,128.34,130.47,1172666
2005-08-05,131.79,138.83,131.79,134.79,3927913
2005-08-08,137.73,137.73,132.45,133.26,2152871
2005-08-09,134.74,137.22,131.76,133.55,1634795
2005-08-10,136.06,139.98,135.43,139.33,2321980
2005-08-11,140.02,144.14,138.0,142.96,2105785
2005-08-12,142.32,143.93,140.25,142.59,1219461
2005-08-16,144.11,147.83,142.32,146.2,1609694
2005-08-17,146.68,148.04,143.7,146.94,972243
2005-08-18,148.19,148.86,144.84,146.4,956078
2005-08-19,146.91,148.98,142.32,143.54,1206629
2005-08-22,144.57,145.85,139.38,140.65,1103512
2005-08-23,142.32,142.35,138.28,139.36,717390
2005-08-24,140.23,143.7,138.31,142.78,896796
2005-08-25,144.48,144.84,141.95,144.27,1657786
2005-08-26,145.07,145.51,140.94,142.87,739763
2005-08-29,144.57,148.5,138.97,145.7,1511246
2005-08-30,145.99,146.86,144.27,144.96,465440
2005-08-31,145.49,145.99,138.23,144.73,563876
2005-09-01,144.98,146.73,144.75,145.15,317344
2005-09-02,145.12,147.95,138.72,147.0,844463
2005-09-05,148.29,149.78,145.65,146.31,941997
2005-09-06,145.56,150.35,145.56,149.34,839366
2005-09-08,149.85,152.83,149.3,151.68,1300134
2005-09-09,152.83,153.52,150.67,152.42,664797
2005-09-12,152.42,154.25,152.4,154.07,356523
2005-09-13,153.98,158.48,151.62,157.56,1125310
2005-09-14,157.93,158.83,153.34,154.79,713079
