timestamp,open,high,low,close,volume
2005-05-30,32.17,33.33,32.17,33.18,555792
2005-05-31,33.13,33.4,32.08,32.57,312672
2005-06-01,32.58,33.16,32.42,32.62,316798
2005-06-02,32.91,33.33,32.43,32.73,387790
2005-06-03,32.67,33.08,32.14,32.44,472044
2005-06-04,32.5,32.58,32.11,32.37,54682
2005-06-06,32.5,32.5,31.43,31.58,909284
2005-06-07,31.34,31.58,30.97,31.24,348842
2005-06-08,31.0,31.38,30.68,30.85,352906
2005-06-09,31.67,31.67,30.67,31.15,295926
2005-06-10,31.31,31.75,30.84,31.41,189880
2005-06-13,31.75,31.75,31.15,31.16,195538
2005-06-14,31.0,31.08,30.42,30.66,378576
2005-06-15,30.67,31.25,30.42,30.95,637922
2005-06-16,31.42,31.65,30.38,30.55,618670
2005-06-17,30.54,30.88,30.26,30.68,556874
2005-06-20,30.83,31.88,30.76,30.98,940342
2005-06-21,31.08,31.32,30.34,30.41,587178
2005-06-22,30.42,31.0,30.34,30.76,461150
2005-06-23,30.83,30.91,30.33,30.38,353792
2005-06-24,30.25,31.21,30.09,30.57,1032782
2005-06-27,30.58,31.43,30.34,31.19,481532
2005-06-28,30.96,31.57,30.35,30.69,690968
2005-06-29,30.79,31.29,30.51,30.61,127784
2005-06-30,30.48,30.83,30.42,30.61,204976
2005-07-01,30.83,31.17,30.42,30.94,149280
2005-07-04,30.93,30.93,30.43,30.66,123014
2005-07-05,30.67,30.75,30.42,30.43,110902
2005-07-06,30.42,31.21,29.96,31.03,267150
2005-07-07,30.92,31.0,29.84,30.19,504892
2005-07-08,30.25,30.75,29.84,30.0,180826
2005-07-11,30.08,30.42,29.33,29.53,238856
2005-07-12,29.51,30.0,28.83,29.09,258002
2005-07-13,29.58,29.58,28.46,28.8,394622
2005-07-14,28.79,29.07,28.33,28.36,373962
2005-07-15,28.65,29.07,28.33,28.44,455566
2005-07-18,28.75,28.75,28.26,28.56,205254
2005-07-19,28.6,28.87,28.56,28.7,177150
2005-07-20,28.82,28.91,28.25,28.7,328588
2005-07-21,28.91,29.13,28.67,28.77,242498
2005-07-22,28.77,29.58,28.76,29.31,636220
2005-07-25,29.58,29.58,29.33,29.5,146440
2005-07-26,29.59,29.63,29.08,29.56,366586
2005-07-27,29.17,30.42,29.17,30.03,442272
2005-07-29,30.41,31.08,28.83,30.55,938656
2005-08-01,30.0,31.5,29.18,31.01,519514
2005-08-02,31.29,32.83,31.13,32.28,938818
2005-08-03,32.28,32.83,31.34,32.26,435942
2005-08-04,32.25,32.25,30.94,31.13,296598
2005-08-05,31.17,31.97,30.43,30.61,269006
2005-08-08,30.75,30.83,29.67,29.99,254754
2005-08-09,29.67,30.0,29.25,29.35,165142
2005-08-10,29.38,30.61,28.33,30.19,918180
2005-08-11,29.6,30.46,29.58,30.21,463818
