timestamp,open,high,low,close,volume
2005-05-30,85.0,86.8,84.66,86.02,3066
2005-05-31,87.0,87.0,86.06,86.61,1800
2005-06-01,86.8,87.48,86.5,86.67,1146
2005-06-02,87.0,87.99,86.5,86.7,4574
2005-06-03,87.5,87.5,86.2,87.1,2396
2005-06-04,87.8,88.2,86.3,87.43,86
2005-06-06,87.69,87.69,86.6,87.51,1175
2005-06-07,87.5,87.75,86.77,87.33,1368
2005-06-08,87.4,87.8,87.4,87.71,1334
2005-06-09,87.7,87.85,87.5,87.7,397
2005-06-10,87.21,89.8,87.21,89.03,1682
2005-06-13,90.0,90.0,88.2,88.56,942
2005-06-14,88.52,89.26,88.5,88.5,959
2005-06-15,88.9,90.9,88.9,90.59,6840
2005-06-16,90.99,90.99,89.83,90.2,2029
2005-06-17,91.47,91.47,89.65,90.1,2425
2005-06-20,89.5,90.7,88.5,90.51,2068
2005-06-21,90.03,90.5,90.0,90.37,2121
2005-06-22,90.0,90.8,90.0,90.15,11325
2005-06-23,90.4,90.5,90.0,90.11,6554
2005-06-24,90.01,91.0,90.0,90.46,952
2005-06-27,90.89,91.5,90.01,90.75,3493
2005-06-28,91.8,91.8,90.2,90.34,1147
2005-06-29,90.6,90.9,90.3,90.74,647
2005-06-30,91.5,91.5,90.33,90.63,908
2005-07-01,91.0,91.1,90.6,90.64,218
2005-07-04,91.75,92.1,90.6,91.86,642
2005-07-05,89.0,93.5,89.0,92.51,3965
2005-07-06,95.5,95.5,92.61,93.03,1922
2005-07-07,93.5,95.5,92.8,93.63,2282
2005-07-08,93.5,94.03,92.0,93.51,1436
2005-07-11,93.97,94.2,93.5,93.5,2953
2005-07-12,93.95,94.35,93.5,94.08,15572
2005-07-13,90.51,94.99,90.51,94.46,1561
2005-07-14,94.7,96.3,94.0,95.81,2623
2005-07-15,91.11,96.95,91.11,96.73,2164
2005-07-18,96.9,97.99,95.51,97.61,3569
2005-07-19,96.07,98.5,96.07,97.91,1219
2005-07-20,98.79,100.2,96.8,99.92,9273
2005-07-21,100.3,106.0,100.0,104.48,6156
2005-07-22,102.5,105.0,101.51,102.51,1940
2005-07-25,103.0,104.8,98.0,99.07,3168
2005-07-26,101.0,101.0,99.6,100.09,2264
2005-07-27,100.5,101.0,100.0,100.52,1918
2005-07-29,100.5,100.9,100.0,100.53,5909
2005-08-01,101.0,101.5,100.0,100.86,2471
2005-08-02,101.0,101.04,100.2,100.78,1552
2005-08-03,102.0,102.0,96.8,100.01,3092
2005-08-04,100.9,103.0,100.2,102.14,3568
2005-08-05,102.3,105.5,100.81,103.42,10688
2005-08-08,103.51,105.99,103.51,105.08,6200
2005-08-09,105.0,106.2,103.5,105.41,6206
2005-08-10,104.1,107.3,104.1,106.76,4999
