timestamp,open,high,low,close,volume
2005-05-30,227.1,227.5,224.4,225.12,113186
2005-05-31,228.27,228.27,222.12,224.77,66827
2005-06-01,224.51,226.46,221.32,223.64,80665
2005-06-02,224.07,224.11,220.63,221.77,129600
2005-06-03,223.11,223.91,219.14,219.6,32243
2005-06-04,220.32,221.92,219.33,220.21,12727
2005-06-06,221.12,222.72,218.33,218.77,34949
2005-06-07,218.73,219.75,216.74,217.18,43666
2005-06-08,217.93,221.08,216.74,219.31,69827
2005-06-09,220.13,223.51,218.47,221.59,101031
2005-06-10,223.08,223.31,218.43,218.94,40775
2005-06-13,218.94,220.9,216.74,217.64,45457
2005-06-14,215.2,221.32,215.2,217.14,77118
2005-06-15,218.91,225.5,216.54,222.76,79583
2005-06-16,222.93,226.7,221.32,222.18,64691
2005-06-17,222.9,222.9,217.34,218.08,62793
2005-06-20,221.12,221.12,216.34,216.77,77222
2005-06-21,216.74,219.93,215.15,218.72,86870
2005-06-22,220.13,220.92,218.23,219.27,88981
2005-06-23,217.14,220.7,217.14,218.18,106253
2005-06-24,218.14,220.72,216.14,218.87,109290
2005-06-27,217.72,222.12,217.14,219.04,165431
2005-06-28,217.17,219.53,217.17,217.45,97159
2005-06-29,215.15,216.53,210.16,211.46,210792
2005-06-30,212.91,215.93,207.18,210.35,344968
2005-07-01,211.16,212.15,209.39,211.27,81537
2005-07-04,211.27,216.78,209.97,213.44,93317
2005-07-05,211.47,216.73,209.57,210.08,130549
2005-07-06,213.15,213.15,208.97,211.01,116807
2005-07-07,212.16,214.55,201.2,211.31,165858
2005-07-08,211.16,214.13,209.77,211.2,70050
2005-07-11,212.16,217.93,211.16,216.69,207773
2005-07-12,215.34,220.32,210.16,217.44,143462
2005-07-13,219.13,220.52,212.75,214.19,114401
2005-07-14,214.95,216.92,212.75,214.53,116516
2005-07-15,215.94,218.93,214.15,218.2,84621
2005-07-18,220.52,228.09,219.14,226.52,203428
2005-07-19,227.1,230.05,222.52,227.13,134105
2005-07-20,227.5,234.88,227.5,233.56,206308
2005-07-21,236.86,237.06,228.73,230.91,183118
2005-07-22,230.09,233.07,228.77,230.52,71242
2005-07-25,230.7,234.47,230.09,233.93,108000
2005-07-26,233.87,235.46,231.71,233.86,112450
2005-07-27,235.07,235.07,231.68,233.94,34907
2005-07-29,234.07,248.01,226.21,234.31,148000
2005-08-01,236.04,236.04,229.09,231.41,49714
2005-08-02,231.68,235.41,231.68,234.47,118084
2005-08-03,238.45,238.53,232.49,238.13,138291
2005-08-04,235.08,242.04,235.08,241.34,161244
2005-08-05,242.04,248.59,241.06,247.3,285991
2005-08-08,245.03,250.01,244.03,245.3,191563
2005-08-09,246.9,254.79,245.23,251.29,189835
2005-08-10,253.19,259.37,249.81,257.75,208934
2005-08-11,259.97,270.67,256.74,265.96,351094
2005-08-12,267.94,268.51,259.77,262.07,161804
2005-08-16,258.97,263.73,253.99,257.77,276712
2005-08-17,258.97,260.17,255.98,258.9,103532
2005-08-18,254.99,262.96,254.99,259.98,120145
2005-08-19,260.38,261.74,257.38,259.32,141174
2005-08-22,260.96,262.56,257.6,260.1,96402
2005-08-23,262.56,264.64,255.98,258.3,75515
2005-08-24,256.26,259.96,254.03,257.94,139215
2005-08-25,255.04,262.96,255.04,258.43,273766
2005-08-26,262.74,262.74,255.99,259.35,100448
2005-08-29,254.44,258.16,251.0,255.8,75157
2005-08-30,255.04,262.16,254.99,260.08,62269
2005-08-31,253.2,260.76,253.2,259.09,117601
2005-09-01,255.41,263.35,255.01,259.28,116358
2005-09-02,259.27,260.37,254.39,255.51,192631
2005-09-05,256.78,256.98,252.0,254.07,177511
2005-09-06,256.78,258.97,253.09,255.07,86023
2005-09-08,255.98,260.96,255.43,259.18,195905
2005-09-09,260.96,262.36,257.43,259.14,85665
2005-09-12,261.96,276.89,259.99,270.24,258286
2005-09-13,272.92,272.92,268.72,269.62,185502
2005-09-14,269.38,272.9,263.35,267.12,108162
2005-09-15,267.34,279.89,267.34,278.61,118294
2005-09-16,278.89,281.88,273.91,277.03,135599
2005-09-19,269.18,278.48,269.18,276.59,47812
2005-09-20,276.5,277.52,273.91,274.74,62646
2005-09-21,274.85,275.9,264.46,271.62,54594
2005-09-22,263.36,272.71,259.37,261.2,85372
2005-09-23,258.97,268.93,258.97,267.39,60384
2005-09-26,270.88,271.32,263.95,269.52,65720
2005-09-27,264.16,271.92,264.16,268.31,115362
2005-09-28,271.32,271.32,265.94,267.25,142857
2005-09-29,269.69,274.71,260.5,263.03,495865
2005-09-30,265.89,267.14,262.36,263.26,124165
2005-10-03,269.93,272.92,261.42,264.67,305756
2005-10-04,270.92,271.52,264.95,267.2,335107
2005-10-05,268.93,271.32,265.94,269.82,299181
2005-10-06,270.92,270.92,261.17,265.51,192520
2005-10-07,264.95,266.54,257.77,261.7,339726
2005-10-10,263.75,263.75,254.79,255.14,138854
2005-10-11,256.78,256.98,249.81,252.95,102973
2005-10-13,252.95,254.79,244.03,245.18,221155
2005-10-14,248.01,248.01,240.05,241.3,183106
2005-10-17,241.3,244.03,235.09,237.33,126330
2005-10-18,243.83,245.03,232.38,233.38,92012
2005-10-19,233.38,234.67,226.5,228.55,239831
2005-10-20,229.09,231.48,219.13,223.93,334041
2005-10-21,216.34,225.11,213.46,222.07,247509
2005-10-24,223.11,227.08,220.52,222.74,108184
2005-10-25,222.15,225.11,219.53,221.56,225282
2005-10-26,221.52,232.08,220.95,229.56,382134
2005-10-27,228.25,229.09,214.15,219.21,352930
2005-10-28,228.65,228.65,216.45,219.78,185539
2005-10-31,222.72,225.3,220.16,223.48,296595
2005-11-01,229.09,232.48,222.32,224.19,23428
