timestamp,open,high,low,close,volume
2005-05-30,53.82,54.2,53.3,54.02,182858
2005-05-31,54.4,54.4,53.4,53.96,372154
2005-06-01,54.15,54.25,53.4,53.6,336362
2005-06-02,54.2,54.32,53.63,53.98,298242
2005-06-03,54.0,54.7,53.55,54.58,330752
2005-06-04,54.3,54.6,53.61,53.91,33180
2005-06-06,54.35,55.7,54.12,55.33,469036
2005-06-07,55.33,60.0,54.8,58.84,1100344
2005-06-08,59.2,59.48,58.2,58.59,709044
2005-06-09,58.8,58.85,57.5,57.91,400136
2005-06-10,58.0,58.9,57.0,57.63,660490
2005-06-13,58.4,58.5,56.82,58.23,320242
2005-06-14,58.4,59.49,58.2,59.35,484566
2005-06-15,60.71,60.71,58.0,59.12,466510
2005-06-16,59.2,59.9,59.0,59.55,3380428
2005-06-17,60.0,60.1,58.8,59.72,393966
2005-06-20,59.98,60.0,59.31,59.86,447924
2005-06-21,59.55,60.5,59.22,60.26,740990
2005-06-22,60.39,60.39,58.51,59.01,470838
2005-06-23,59.84,59.84,57.5,58.06,497728
2005-06-24,58.5,58.74,57.31,58.25,341204
2005-06-27,58.0,60.34,58.0,59.97,643280
2005-06-28,59.79,59.79,58.23,59.0,354338
2005-06-29,59.47,60.99,59.0,60.16,1299106
2005-06-30,60.16,64.3,60.16,63.61,2327786
2005-07-01,61.63,62.5,61.3,61.81,449986
2005-07-04,62.3,63.5,62.0,63.2,447722
2005-07-05,61.23,63.99,53.79,63.31,295328
2005-07-06,63.3,65.0,62.72,64.66,467046
2005-07-07,64.51,66.2,63.4,64.06,1304538
2005-07-08,64.4,65.4,64.22,65.18,307490
2005-07-11,65.55,66.9,65.5,66.4,445318
2005-07-12,66.3,67.0,64.82,65.81,660004
2005-07-13,65.8,65.8,63.7,64.29,698004
2005-07-14,64.29,65.5,62.9,64.52,1367940
2005-07-15,64.5,64.5,62.71,63.06,500636
2005-07-18,63.3,63.8,62.4,62.78,1015210
2005-07-19,63.5,64.0,63.14,63.98,491018
2005-07-20,64.3,67.5,63.65,64.14,555470
2005-07-21,64.49,64.89,61.23,64.16,160818
2005-07-22,63.7,64.98,61.33,64.85,1213316
2005-07-25,64.77,69.5,64.77,67.47,2620290
2005-07-26,67.5,68.8,67.4,67.83,1548470
2005-07-27,68.0,71.6,66.74,70.52,1354954
2005-07-29,70.0,73.0,68.01,69.94,4375436
2005-08-01,68.99,69.6,67.0,67.65,612376
2005-08-02,68.0,68.19,66.55,66.9,662702
2005-08-03,67.11,68.9,67.0,67.68,1129438
2005-08-04,74.0,74.0,67.7,68.45,408010
2005-08-05,68.69,69.0,67.11,67.42,454964
2005-08-08,76.5,76.5,65.11,65.78,823260
2005-08-09,64.5,66.46,64.5,65.43,442402
2005-08-10,67.5,67.5,65.53,66.03,642046
2005-08-11,66.75,67.2,65.5,66.11,1309802
2005-08-12,65.1,67.0,65.1,66.02,928520
2005-08-16,66.8,66.8,64.3,64.72,854466
2005-08-17,64.9,66.8,64.9,65.61,971280
2005-08-18,66.81,66.81,65.62,66.3,305660
2005-08-19,65.8,66.4,65.52,65.89,327712
2005-08-22,67.29,67.29,65.3,65.76,233970
2005-08-23,65.0,66.39,62.99,64.86,519170
2005-08-24,64.5,65.8,62.94,65.16,1192910
2005-08-25,64.99,65.2,63.84,64.94,992206
2005-08-26,65.9,66.39,63.04,63.47,730474
2005-08-29,64.3,64.7,62.83,63.88,902496
2005-08-30,63.5,65.0,63.5,64.66,509150
2005-08-31,64.9,65.0,63.21,64.03,305736
2005-09-01,64.97,64.97,62.93,63.19,286148
2005-09-02,63.1,64.05,63.1,63.63,833496
2005-09-05,63.61,64.4,63.61,64.02,200902
2005-09-06,64.1,64.4,63.56,64.25,208680
2005-09-08,64.4,65.7,64.0,65.58,387322
2005-09-09,65.7,68.0,65.21,67.61,835946
2005-09-12,67.6,68.0,66.1,67.74,541250
2005-09-13,67.5,69.0,66.61,68.72,834360
2005-09-14,68.3,69.2,67.62,68.8,909524
2005-09-15,68.8,69.3,68.61,69.22,896170
2005-09-16,69.8,69.8,68.63,69.24,798286
2005-09-19,69.7,71.49,69.7,70.84,805664
2005-09-20,70.3,74.0,70.3,73.24,1340084
2005-09-21,73.03,73.56,71.11,72.46,1272298
2005-09-22,72.0,72.05,68.45,69.18,1015336
2005-09-23,69.19,69.19,66.1,67.0,1274482
2005-09-26,67.0,68.01,66.54,67.92,780568
2005-09-27,68.0,69.6,67.52,68.22,850124
2005-09-28,69.0,70.4,68.3,69.6,1556022
2005-09-29,69.79,70.7,68.02,69.6,3293918
2005-09-30,69.97,69.97,63.23,68.52,815118
2005-10-03,68.52,69.48,67.43,67.67,1021950
2005-10-04,69.0,71.5,69.0,70.99,1691446
2005-10-05,70.11,71.45,69.72,70.27,574756
2005-10-06,69.48,69.49,67.0,68.21,863302
2005-10-07,67.9,68.34,66.5,67.86,731322
2005-10-10,69.25,69.25,68.0,68.83,420966
2005-10-11,69.79,69.79,67.14,68.98,469402
2005-10-13,68.15,68.79,67.51,67.79,600142
2005-10-14,67.2,67.2,65.5,65.94,790018
2005-10-17,66.5,66.5,64.1,65.44,930482
2005-10-18,65.9,66.97,65.5,65.78,919330
2005-10-19,64.35,66.0,63.2,64.77,581262
2005-10-20,65.1,65.3,64.01,64.39,718232
2005-10-21,66.0,66.0,64.2,64.77,713520
2005-10-24,65.27,65.27,62.83,63.55,539978
2005-10-25,64.45,64.45,62.23,63.07,1063152
