timestamp,open,high,low,close,volume
2005-05-30,72.72,72.72,70.24,70.85,167304
2005-05-31,70.87,71.84,70.45,71.28,364166
2005-06-01,71.63,72.91,71.45,72.62,252791
2005-06-02,73.09,73.27,71.27,71.3,186939
2005-06-03,71.36,72.0,71.09,71.45,123075
2005-06-04,72.16,72.73,71.64,72.23,82830
2005-06-06,72.27,73.09,71.27,71.58,181881
2005-06-07,72.25,74.09,71.85,73.7,600938
2005-06-08,73.86,76.55,73.86,76.29,850670
2005-06-09,76.29,76.29,74.0,75.21,391821
2005-06-10,75.82,76.0,73.91,74.29,335048
2005-06-13,75.27,77.27,73.3,77.05,825438
2005-06-14,77.64,79.27,77.27,78.9,1142956
2005-06-15,78.91,79.55,77.35,78.81,820547
2005-06-16,78.09,78.35,75.45,75.83,461935
2005-06-17,77.07,77.82,75.37,75.64,471222
2005-06-20,76.36,76.89,73.2,73.66,725029
2005-06-21,74.18,76.35,73.73,76.04,416372
2005-06-22,76.36,77.18,75.51,76.49,570891
2005-06-23,76.55,76.64,73.12,76.07,461295
2005-06-24,75.95,76.64,74.92,76.06,279357
2005-06-27,76.0,76.54,75.28,75.95,489917
2005-06-28,77.82,77.82,75.32,75.97,516430
2005-06-29,76.73,76.73,75.37,75.81,470300
2005-06-30,76.35,77.81,75.27,77.41,784033
2005-07-01,77.64,78.05,76.22,76.59,392337
2005-07-04,77.09,78.45,76.55,78.05,536033
2005-07-05,78.18,79.36,77.28,78.55,655482
2005-07-06,78.69,79.76,78.23,78.54,556579
2005-07-07,78.82,78.91,75.82,76.73,347741
2005-07-08,77.1,77.82,76.19,77.14,272713
2005-07-11,77.7,82.71,77.7,82.25,1288735
2005-07-12,78.18,85.41,78.18,85.1,1597389
2005-07-13,85.07,85.07,82.73,84.33,711489
2005-07-14,83.45,83.64,80.73,81.09,367469
2005-07-15,77.37,80.73,77.37,80.24,311464
2005-07-18,80.73,81.6,80.36,80.66,283970
2005-07-19,81.09,81.38,78.18,80.13,185602
2005-07-20,81.26,81.45,79.83,80.11,276208
2005-07-21,80.36,80.73,78.93,79.78,211942
2005-07-22,79.82,83.09,78.76,82.69,870802
2005-07-25,83.09,90.74,82.74,89.71,2472166
2005-07-26,89.82,93.82,86.46,92.59,2841010
2005-07-27,89.19,98.13,89.19,96.04,2205868
2005-07-29,95.09,100.89,93.09,97.17,3428061
2005-08-01,96.82,99.98,95.45,97.89,1326833
2005-08-02,97.24,97.27,93.82,94.62,804051
2005-08-03,94.74,96.33,94.56,95.03,650829
2005-08-04,94.56,94.56,92.82,93.33,597664
2005-08-05,92.82,94.73,90.37,90.94,973776
2005-08-08,91.82,92.35,86.36,86.93,916475
2005-08-09,87.73,89.94,86.6,87.75,1048560
2005-08-10,89.04,90.0,88.76,89.83,516322
2005-08-11,90.0,93.96,90.0,92.17,1266315
2005-08-12,92.73,94.55,92.28,93.23,1368582
2005-08-16,93.5,93.5,90.75,91.77,380262
2005-08-17,91.77,92.64,89.1,91.62,599365
2005-08-18,92.55,93.09,91.27,92.29,421930
2005-08-19,92.36,92.55,90.0,90.58,360599
2005-08-22,92.67,92.67,88.55,89.37,236595
2005-08-23,90.34,90.34,86.73,87.35,285339
2005-08-24,86.91,89.99,85.45,88.77,557634
2005-08-25,89.45,89.99,86.6,88.09,649068
2005-08-26,88.72,88.91,86.78,87.56,302798
2005-08-29,86.96,87.6,83.64,85.08,358940
2005-08-30,85.6,87.27,85.6,86.75,405327
2005-08-31,86.93,87.99,86.92,87.6,383749
2005-09-01,87.68,90.05,87.49,87.97,473661
2005-09-02,89.07,89.07,87.0,87.55,369653
2005-09-05,88.9,88.9,87.52,88.09,178418
2005-09-06,87.47,95.45,87.47,88.73,435405
2005-09-08,88.73,92.16,88.18,91.86,790255
2005-09-09,92.16,94.35,90.38,93.37,1032590
2005-09-12,93.37,94.18,92.55,93.9,584977
2005-09-13,93.45,94.8,92.11,94.27,762050
2005-09-14,93.11,96.36,93.11,95.86,1012417
2005-09-15,96.33,97.27,95.45,96.94,590504
2005-09-16,97.08,100.0,95.82,99.3,828967
2005-09-19,99.27,101.53,98.36,100.98,714091
2005-09-20,100.0,106.91,98.57,105.87,1837257
2005-09-21,104.36,106.87,100.36,104.82,1949269
2005-09-22,104.18,105.91,102.46,104.21,1262847
2005-09-23,103.27,106.18,99.66,104.46,812380
2005-09-26,104.55,106.48,104.2,104.7,515867
2005-09-27,101.01,107.91,101.01,107.34,1119418
2005-09-28,108.09,109.42,107.29,108.98,1157041
2005-09-29,108.22,109.8,106.73,108.9,1187935
2005-09-30,108.91,111.81,107.36,109.4,763258
2005-10-03,109.89,111.64,106.85,107.89,515413
2005-10-04,107.73,108.73,105.82,107.34,467026
2005-10-05,107.46,108.72,101.55,102.2,1678692
2005-10-06,102.18,102.46,96.75,97.18,2304788
2005-10-07,97.18,98.54,94.75,96.35,1835382
2005-10-10,96.51,101.64,95.95,96.62,1058726
2005-10-11,97.43,98.15,94.76,97.92,935399
2005-10-13,98.15,100.27,94.09,95.57,2400446
2005-10-14,99.95,99.95,91.32,92.05,3152021
2005-10-17,93.6,93.6,90.09,90.97,1771001
2005-10-18,91.64,93.08,89.35,90.3,916711
2005-10-19,90.18,91.58,87.45,90.47,1398699
2005-10-20,91.58,94.51,89.36,90.35,1796267
2005-10-21,90.0,92.52,89.68,92.1,1279285
2005-10-24,92.18,94.55,89.71,90.47,879542
2005-10-25,89.71,92.35,85.0,91.63,685586
2005-10-26,91.64,93.57,90.91,92.87,808908
2005-10-27,93.18,93.18,86.2,87.25,1223997
2005-10-28,87.65,89.09,85.91,88.27,1011252
2005-10-31,88.55,90.91,88.45,90.65,655355
2005-11-01,91.09,92.73,89.76,90.66,111391
2005-11-02,91.55,91.76,90.47,90.81,468801
2005-11-07,90.91,91.99,90.0,90.83,507135
2005-11-08,91.99,92.73,90.73,91.76,1011733
2005-11-09,92.73,93.44,91.27,91.91,1209017
2005-11-10,92.18,92.91,91.13,91.57,866856
2005-11-11,91.82,94.16,91.64,93.65,1344065
2005-11-14,94.16,96.71,94.16,95.8,1082625
2005-11-16,95.82,97.45,95.45,96.93,671185
2005-11-17,97.27,99.45,96.89,99.16,1179109
2005-11-18,96.89,100.18,96.55,97.94,810999
2005-11-21,98.35,98.35,94.55,94.98,604664
2005-11-22,94.55,96.27,93.78,94.54,842368
2005-11-23,93.78,96.15,93.64,95.98,864955
2005-11-24,95.91,98.85,95.14,97.97,1993054
2005-11-25,99.09,100.91,97.86,99.04,895500
2005-11-26,99.27,99.82,98.01,98.3,359179
2005-11-28,98.91,99.09,97.48,98.0,786501
2005-11-29,97.87,98.35,96.76,97.62,416182
2005-11-30,98.35,100.69,97.38,97.83,814640
2005-12-01,98.18,99.05,97.64,98.28,726542
2005-12-02,99.05,101.09,98.55,98.95,1158955
2005-12-05,98.55,99.8,96.48,96.86,755041
2005-12-06,96.48,97.45,95.45,96.35,1127878
2005-12-07,96.36,98.91,95.27,98.63,1910106
2005-12-08,98.91,99.36,97.11,98.22,950675
2005-12-09,98.13,100.16,97.66,99.87,982304
2005-12-12,100.16,102.91,100.16,102.12,1376385
2005-12-13,102.18,103.6,101.49,102.26,982996
2005-12-14,102.18,104.48,102.18,103.93,1107763
2005-12-15,104.15,104.46,101.66,102.26,890001
2005-12-16,102.69,108.0,101.36,106.65,2386100
2005-12-19,105.38,106.59,103.74,106.34,4166408
2005-12-20,106.36,106.71,104.06,104.56,1885468
2005-12-21,104.36,107.44,103.55,104.56,2620924
2005-12-22,105.42,105.94,103.74,104.28,1293018
2005-12-23,105.46,107.82,103.82,105.65,2100413
2005-12-26,105.82,106.18,100.09,101.74,1881288
2005-12-27,101.73,105.46,98.39,105.13,2537895
2005-12-28,104.55,106.66,104.05,104.81,2677301
2005-12-29,104.73,105.89,103.87,104.34,2506096
2005-12-30,104.36,107.36,104.36,106.37,1979651
2006-01-02,106.86,110.89,106.86,108.55,9309907
2006-01-03,108.55,110.64,104.47,110.27,4236692
2006-01-04,111.09,112.91,110.55,111.58,4767161
2006-01-05,112.35,112.35,108.09,109.92,2093052
2006-01-06,110.15,110.86,108.12,109.12,609031
2006-01-09,109.27,109.76,106.74,107.49,1129353
2006-01-10,107.99,108.18,105.84,106.41,921285
2006-01-12,106.36,106.73,104.73,105.06,754535
2006-01-13,105.27,107.62,105.09,106.18,765589
