timestamp,open,high,low,close,volume
2010-01-08,255.5,257.5,247.52,249.47,6480
2010-01-11,240.1,251.5,240.0,249.9,8250
2010-01-12,254.0,254.0,247.14,250.29,683460
2010-01-13,250.29,254.0,248.0,248.94,10320
2010-01-14,253.5,259.5,247.0,256.82,3303610
2010-01-15,258.0,258.0,250.01,251.35,82290
2010-01-18,257.4,257.4,251.4,253.62,8830
2010-01-19,256.7,257.0,253.1,255.61,6880
2010-01-20,255.0,257.5,254.0,254.25,6410
2010-01-21,253.99,256.9,249.99,252.62,8310
2010-01-22,250.0,253.0,247.8,252.9,6810
2010-01-25,266.54,266.54,251.0,252.23,19550
2010-01-27,257.0,257.49,249.86,256.69,53020
2010-01-28,256.8,261.0,253.55,258.69,10480
2010-01-29,252.6,258.0,252.6,253.3,7870
2010-02-01,260.0,260.0,251.51,253.22,6140
2010-02-02,259.91,259.91,254.0,256.01,8310
2010-02-03,258.8,260.0,255.6,256.46,86810
2010-02-04,254.8,258.38,254.8,256.83,4420
2010-02-05,258.2,258.2,244.2,254.91,16510
2010-02-06,245.5,257.29,245.5,256.64,330
2010-02-08,257.0,267.2,257.0,264.55,81810
2010-02-09,260.01,282.4,260.01,279.26,88610
2010-02-10,280.2,324.4,273.86,275.02,446990
2010-02-11,281.9,281.9,272.61,273.73,318810
2010-02-15,281.5,281.5,261.4,271.93,45040
2010-02-16,279.2,281.47,269.71,270.19,61200
2010-02-17,270.52,274.3,268.14,268.88,99810
2010-02-18,268.88,271.0,264.5,265.15,22030
2010-02-19,265.0,268.5,262.8,264.02,74950
2010-02-22,262.51,264.9,256.0,258.49,148200
2010-02-23,257.0,259.0,255.1,255.22,30700
2010-02-24,255.0,259.0,254.0,257.47,99180
2010-02-25,258.0,260.0,255.21,255.96,42640
2010-02-26,252.61,265.0,252.61,262.69,42390
2010-03-02,262.0,264.5,260.0,262.55,33430
2010-03-03,263.0,264.0,260.46,262.92,23390
2010-03-04,261.0,265.0,261.0,263.4,47960
2010-03-05,267.0,271.98,267.0,270.12,143920
2010-03-08,273.0,275.0,269.23,272.6,97670
2010-03-09,270.0,275.1,270.0,274.52,42120
2010-03-10,272.1,276.5,272.1,274.0,83860
2010-03-11,272.5,274.0,269.5,273.27,277120
2010-03-12,282.5,282.5,269.0,271.55,198720
2010-03-15,273.1,275.7,270.41,274.48,29800
2010-03-16,273.56,273.6,266.0,267.24,92160
2010-03-17,269.0,269.0,265.5,267.86,21490
2010-03-18,269.8,269.8,265.81,266.81,64850
2010-03-19,268.98,268.98,262.1,264.64,111670
2010-03-22,265.0,265.98,261.15,263.47,218850
2010-03-23,264.12,266.1,263.5,265.39,29900
2010-03-25,266.0,266.5,261.0,264.83,80680
2010-03-26,263.21,272.0,263.21,268.74,229000
2010-03-29,267.0,280.0,264.3,271.29,77300
