timestamp,open,high,low,close,volume
2005-05-30,69.92,69.92,68.71,69.0,1597529
2005-05-31,69.83,69.83,68.96,69.58,2384834
2005-06-01,69.42,69.92,69.42,69.63,1894700
2005-06-02,69.92,70.17,68.5,68.63,2128778
2005-06-03,68.63,69.46,68.58,69.33,2940793
2005-06-04,69.38,69.58,68.96,69.04,331074
2005-06-06,69.5,73.08,69.25,71.38,14845282
2005-06-07,72.58,72.58,71.46,71.67,3672280
2005-06-08,72.08,72.58,71.58,72.13,3469870
2005-06-09,72.29,72.5,71.46,71.58,2383324
2005-06-10,72.08,72.21,71.0,71.33,2814425
2005-06-13,72.0,72.0,70.58,70.83,2927826
2005-06-14,71.58,71.58,69.0,69.17,5781656
2005-06-15,69.21,70.17,69.21,69.79,2040284
2005-06-16,69.88,70.13,69.0,69.08,1268052
2005-06-17,69.38,69.38,68.75,69.13,2357138
2005-06-20,69.92,69.92,68.79,69.13,1709616
2005-06-21,69.17,69.38,68.33,69.13,2324116
2005-06-22,69.58,70.79,69.17,70.17,5326228
2005-06-23,70.42,71.42,70.08,70.29,4694352
2005-06-24,70.08,71.67,69.58,71.29,4311288
2005-06-27,69.38,72.04,69.38,70.58,4361748
2005-06-28,70.71,70.71,68.79,69.04,3276251
2005-06-29,69.25,70.13,69.04,69.96,2680621
2005-06-30,70.08,70.5,68.83,69.17,6026153
2005-07-01,69.58,71.42,69.38,70.83,4060176
2005-07-04,71.5,73.25,71.04,72.71,7433239
2005-07-05,73.33,73.54,71.29,71.75,6334868
2005-07-06,72.17,74.83,72.0,74.42,13292671
2005-07-07,74.79,75.21,72.08,72.67,7875871
2005-07-08,73.29,74.29,72.83,73.96,4128959
2005-07-11,74.79,76.04,74.33,75.0,7688171
2005-07-12,75.54,75.58,74.25,75.21,4935208
2005-07-13,75.63,75.83,74.58,75.0,4272449
2005-07-14,75.33,76.58,74.17,76.29,7632707
2005-07-15,75.04,76.88,75.04,76.63,6760866
2005-07-18,76.88,76.96,76.25,76.63,3642910
2005-07-19,75.92,77.08,75.92,76.67,3925934
2005-07-20,77.08,77.92,76.63,76.83,3236242
2005-07-21,77.29,77.5,75.75,76.75,7763938
2005-07-22,69.13,77.5,69.13,77.25,2693008
2005-07-25,77.46,81.58,77.17,81.04,17576308
2005-07-26,81.04,81.17,78.75,79.13,6376787
2005-07-27,79.46,79.58,78.08,78.58,3460972
2005-07-29,79.29,79.88,76.71,78.17,15467214
2005-08-01,78.58,82.25,77.67,82.0,12007343
2005-08-02,82.5,83.54,81.75,82.46,7836043
2005-08-03,83.25,83.25,80.42,80.75,5438195
2005-08-04,80.75,81.67,79.83,80.08,5839686
2005-08-05,80.21,81.17,79.67,80.42,4478028
2005-08-08,80.46,81.04,79.38,80.63,6134382
2005-08-09,81.04,81.83,80.42,81.46,10624270
2005-08-10,80.83,81.67,79.17,80.58,4850857
2005-08-11,81.58,81.58,80.58,80.88,4261577
2005-08-12,80.88,81.25,79.75,80.13,3501808
2005-08-16,83.33,83.33,80.04,80.79,5892031
2005-08-17,80.25,81.04,79.79,80.79,4096612
2005-08-18,81.04,81.71,80.71,81.17,6926876
2005-08-19,81.42,81.67,80.21,80.71,4346886
2005-08-22,80.83,81.58,79.92,80.67,3250418
2005-08-23,80.83,80.92,79.75,80.67,3695304
