timestamp,open,high,low,close,volume
2005-05-30,100.0,102.22,100.0,101.29,1104175
2005-05-31,101.11,103.22,100.92,102.53,895743
2005-06-01,102.37,103.89,100.35,103.32,1234194
2005-06-02,103.0,103.3,102.02,102.7,1424260
2005-06-03,102.56,104.39,102.56,104.16,833549
2005-06-04,103.89,104.33,102.25,102.9,215195
2005-06-06,103.0,104.33,102.56,104.0,661889
2005-06-07,102.8,104.21,102.8,103.7,660651
2005-06-08,103.89,103.98,101.79,102.43,587219
2005-06-09,101.89,103.88,100.61,101.19,663038
2005-06-10,111.11,111.11,100.08,100.4,1028296
2005-06-13,100.67,102.22,100.13,101.97,951755
2005-06-14,102.33,103.89,102.02,103.27,951595
2005-06-15,103.89,104.33,102.65,104.03,631779
2005-06-16,103.47,104.33,102.33,102.99,824739
2005-06-17,104.3,104.3,100.9,102.11,921308
2005-06-20,102.22,103.22,101.35,102.47,793517
2005-06-21,103.89,105.56,103.22,105.07,1208857
2005-06-22,105.58,107.63,105.12,106.53,1356160
2005-06-23,107.11,107.21,105.45,106.17,949578
2005-06-24,105.2,108.78,105.2,107.61,1919853
2005-06-27,108.88,110.78,107.33,109.9,1960332
2005-06-28,106.7,110.56,106.7,108.6,1343982
2005-06-29,108.33,111.06,107.33,110.56,1401589
2005-06-30,110.11,114.87,110.11,114.16,2799886
2005-07-01,113.89,113.89,108.67,109.25,1522661
2005-07-04,110.22,111.05,109.12,109.8,820760
2005-07-05,110.11,110.72,108.0,108.86,1008243
2005-07-06,109.15,109.87,107.65,108.33,1202707
2005-07-07,108.89,109.22,102.78,103.5,2070577
2005-07-08,104.85,105.53,101.22,102.25,2246948
2005-07-11,102.59,103.81,102.46,102.91,1141166
2005-07-12,104.33,105.21,102.78,104.79,1240028
2005-07-13,104.56,105.56,102.4,102.65,881717
2005-07-14,102.56,103.11,100.67,102.44,1366661
2005-07-15,109.0,109.0,99.62,103.12,2049749
2005-07-18,103.11,103.56,100.85,101.92,1656801
2005-07-19,102.45,102.78,101.58,102.0,990252
2005-07-20,102.65,102.65,101.97,102.22,687999
2005-07-21,102.11,103.33,101.66,102.02,828029
2005-07-22,102.11,104.67,102.02,104.27,1466270
2005-07-25,104.67,107.78,104.67,107.26,1669962
2005-07-26,106.57,108.33,105.91,107.94,1083589
2005-07-27,107.67,108.33,106.22,107.69,864526
2005-07-29,100.0,105.42,98.89,104.28,5671798
2005-08-01,104.48,105.21,102.22,104.63,1134975
2005-08-02,104.67,106.56,104.23,106.36,1745548
2005-08-03,106.36,108.17,105.6,107.46,2108367
2005-08-04,107.78,108.43,105.07,106.33,1355792
2005-08-05,108.43,108.43,105.0,105.61,1010247
2005-08-08,106.45,107.03,104.33,106.02,999603
2005-08-09,104.33,107.32,98.96,106.57,1066658
2005-08-10,106.56,106.67,105.06,106.25,682418
2005-08-11,106.65,107.53,105.46,105.99,809175
2005-08-12,106.33,106.63,105.39,105.68,593701
2005-08-16,105.89,107.22,104.89,106.38,1069544
2005-08-17,107.16,112.0,106.17,111.46,2292056
2005-08-18,111.67,112.86,109.17,109.73,871800
2005-08-19,110.59,113.05,110.12,111.13,1001786
2005-08-22,111.13,112.71,108.48,110.12,610417
2005-08-23,110.45,111.33,106.89,107.34,1056421
2005-08-24,107.78,109.03,106.71,108.0,1893861
2005-08-25,111.0,111.78,107.4,110.68,2259778
2005-08-26,111.66,111.66,108.67,109.24,630311
2005-08-29,109.7,109.7,106.67,107.63,655155
2005-08-30,107.78,109.78,107.41,108.5,789553
2005-08-31,108.89,109.77,107.89,109.1,653660
2005-09-01,108.27,109.06,107.33,108.7,963971
2005-09-02,109.33,110.97,108.13,108.7,973676
2005-09-05,109.0,110.53,108.33,110.18,574597
2005-09-06,110.53,111.11,109.0,109.46,273624
2005-09-08,109.56,110.78,108.9,110.36,1030724
2005-09-09,109.89,111.08,109.28,110.2,355049
2005-09-12,111.0,112.22,109.57,111.78,564797
2005-09-13,112.19,112.22,110.57,111.87,536377
2005-09-14,111.66,111.66,110.23,110.72,1122448
2005-09-15,111.93,111.93,110.03,111.08,610894
2005-09-16,111.08,115.11,111.08,113.68,1218046
2005-09-19,113.33,114.56,113.11,113.52,384611
2005-09-20,113.11,115.89,112.78,114.57,833147
2005-09-21,113.89,116.11,111.82,115.72,1569242
2005-09-22,116.11,120.22,110.11,110.72,1538870
2005-09-23,110.67,112.45,109.24,109.95,986156
2005-09-26,110.56,113.85,110.11,113.35,763633
2005-09-27,112.56,117.22,111.67,115.74,1451324
2005-09-28,116.11,119.89,115.79,118.89,1067020
2005-09-29,119.33,122.22,117.81,119.66,3473256
2005-09-30,118.89,120.0,116.13,117.89,723467
2005-10-03,118.33,120.0,117.78,119.15,645026
2005-10-04,119.89,120.13,118.56,119.86,737058
2005-10-05,119.57,120.11,118.67,119.31,487584
2005-10-06,118.45,118.45,113.74,115.57,1547458
2005-10-07,115.56,117.67,114.78,116.25,949455
2005-10-10,116.45,117.38,113.9,114.36,612105
2005-10-11,114.78,118.0,113.67,117.2,760090
2005-10-13,114.37,117.2,113.8,114.6,684983
2005-10-14,114.6,114.67,109.0,110.29,2055508
2005-10-17,110.56,111.45,108.93,109.92,866435
2005-10-18,110.0,111.56,108.15,109.11,928459
2005-10-19,108.15,108.33,90.0,105.42,2769172
2005-10-20,106.12,107.76,102.58,104.3,2130608
2005-10-21,102.82,106.67,102.82,106.32,1410221
2005-10-24,105.15,106.89,102.22,102.91,1004928
2005-10-25,105.0,105.75,102.24,103.39,1652432
2005-10-26,103.89,105.19,102.78,103.43,2133796
2005-10-27,103.67,106.11,101.68,103.96,3588296
2005-10-28,103.96,104.43,101.0,102.07,1729062
2005-10-31,102.78,103.92,102.06,103.23,1058977
2005-11-01,107.22,107.22,103.03,103.51,213606
2005-11-02,104.33,104.33,102.22,103.35,1182748
2005-11-07,103.89,105.67,103.02,105.06,1295905
2005-11-08,105.67,108.75,105.14,107.01,1925520
2005-11-09,107.56,108.2,105.24,105.96,1354381
2005-11-10,106.33,108.78,105.5,108.21,926183
2005-11-11,108.39,109.95,107.78,108.96,992779
2005-11-14,109.73,110.67,108.75,110.31,691423
2005-11-16,110.33,111.11,109.13,109.85,1077402
2005-11-17,109.78,112.9,108.46,112.02,1042681
2005-11-18,112.78,114.11,111.78,113.14,710075
2005-11-21,113.9,114.45,112.26,113.53,1022434
2005-11-22,112.26,113.67,110.12,110.4,1038747
2005-11-23,110.62,114.01,110.62,113.41,1180605
2005-11-24,113.33,114.72,112.91,113.93,559124
2005-11-25,114.0,114.78,112.67,113.34,448729
2005-11-26,113.43,115.45,113.43,114.55,183248
2005-11-28,115.45,116.89,114.11,116.13,925792
2005-11-29,116.11,117.0,114.01,116.58,741151
2005-11-30,117.0,120.56,113.89,114.41,617057
2005-12-01,115.02,116.65,112.78,115.77,1040619
2005-12-02,116.0,117.1,114.17,114.79,1295493
2005-12-05,115.24,115.52,112.78,113.56,824311
2005-12-06,113.45,117.89,112.89,116.98,1473569
2005-12-07,116.98,121.43,116.67,120.11,2127336
2005-12-08,118.89,123.22,117.67,121.77,1330331
2005-12-09,122.37,126.31,120.67,125.3,1244344
2005-12-12,124.13,131.22,124.13,129.48,1359621
2005-12-13,128.56,132.21,126.78,131.28,1394338
2005-12-14,131.67,131.67,126.45,127.5,1207552
2005-12-15,128.56,128.88,126.95,127.46,1182981
2005-12-16,128.0,129.45,124.56,127.76,1392307
2005-12-19,127.78,129.41,127.37,127.82,731143
2005-12-20,127.78,129.45,127.33,128.25,642731
2005-12-21,129.33,130.86,127.55,128.98,657805
2005-12-22,129.56,133.22,129.56,132.15,1205550
2005-12-23,132.22,133.86,131.13,132.32,1532775
2005-12-26,127.95,132.38,127.95,131.68,1094045
2005-12-27,130.45,132.33,127.5,131.19,603850
2005-12-28,131.67,132.66,129.67,130.02,711646
2005-12-29,130.56,134.45,129.13,132.55,1335305
2005-12-30,133.33,135.55,129.51,130.47,817824
2006-01-02,131.45,133.06,129.56,132.41,831613
2006-01-03,132.33,135.0,130.25,134.53,829943
2006-01-04,134.33,135.08,130.6,131.76,825936
2006-01-05,133.2,133.2,130.56,131.12,1095861
2006-01-06,131.89,134.22,130.78,133.68,1402052
2006-01-09,133.33,136.67,132.33,135.55,1511092
2006-01-10,136.0,136.0,133.33,134.27,1056073
2006-01-12,133.33,133.77,131.11,131.98,747966
2006-01-13,132.06,136.56,131.22,135.22,1319024
2006-01-16,133.95,136.67,133.33,135.98,708807
2006-01-17,135.98,137.33,134.22,135.97,915954
2006-01-18,135.45,136.08,131.11,132.75,874855
2006-01-19,133.11,134.75,132.35,133.53,654891
2006-01-20,134.75,141.78,134.11,138.42,1565357
2006-01-23,138.89,141.11,137.22,139.28,1425957
2006-01-24,140.0,140.52,137.78,138.7,753915
2006-01-25,138.91,144.22,116.67,141.95,1737444
2006-01-27,141.67,142.83,137.45,140.62,1296241
2006-01-30,142.78,142.78,136.89,137.41,1344718
2006-01-31,137.89,139.56,137.03,137.48,695629
2006-02-01,138.86,138.86,135.35,136.01,652441
2006-02-02,137.78,137.78,131.11,131.61,1598989
2006-02-03,132.0,132.0,127.67,129.11,1774191
2006-02-06,129.42,133.95,127.56,132.8,1271367
2006-02-07,132.22,132.78,128.89,130.07,1681065
2006-02-08,130.56,132.22,129.0,131.01,1273905
2006-02-10,130.97,131.45,130.12,130.68,899938
2006-02-13,130.78,131.11,128.28,130.4,943089
2006-02-14,128.3,133.0,128.3,130.25,2070541
2006-02-15,130.89,130.89,125.34,128.75,1423716
2006-02-16,128.89,129.45,126.47,128.07,983917
2006-02-17,128.25,129.21,123.68,124.66,967831
2006-02-20,124.71,127.78,123.37,127.26,804992
2006-02-21,127.78,130.0,126.67,129.05,1193866
2006-02-22,129.45,131.2,128.92,130.52,1100269
2006-02-23,130.56,133.89,130.37,132.86,2076621
2006-02-24,131.23,131.67,129.25,131.08,389366
2006-02-27,131.0,131.45,130.0,130.93,534188
2006-02-28,131.11,131.78,125.58,126.27,1893521
2006-03-01,126.45,127.0,123.56,124.68,1451105
2006-03-02,123.56,128.31,123.46,127.67,1084596
2006-03-03,126.22,129.11,126.22,127.26,811536
2006-03-06,127.78,131.11,126.66,129.92,782479
2006-03-07,129.89,130.48,127.82,129.13,773043
2006-03-08,128.33,129.42,125.05,126.03,1211401
2006-03-09,126.67,127.78,124.67,126.92,808799
2006-03-10,127.45,128.89,126.92,127.92,522847
2006-03-13,128.89,131.89,128.0,130.56,585789
2006-03-14,131.89,133.07,130.56,131.85,693546
2006-03-16,132.01,133.45,130.56,132.86,862266
2006-03-17,133.22,137.21,133.22,135.68,1684093
2006-03-20,135.78,137.55,134.56,135.35,854841
2006-03-21,135.68,137.22,135.58,136.06,700097
2006-03-22,136.06,136.66,133.33,135.95,725516
2006-03-23,136.11,137.33,134.26,135.07,557794
2006-03-24,135.0,136.22,133.47,135.67,724806
