timestamp,open,high,low,close,volume
2007-10-05,50.64,61.75,46.89,56.73,853077617
2007-10-08,58.65,58.65,53.49,53.83,126355036
2007-10-09,53.85,58.0,50.95,57.49,116433895
2007-10-10,58.99,59.21,57.52,58.03,67761550
2007-10-11,67.67,67.67,57.52,64.51,106055152
2007-10-12,63.16,66.49,62.59,64.09,99162265
2007-10-15,65.41,65.81,64.37,64.93,41710435
2007-10-16,65.02,72.69,64.57,71.56,138267960
2007-10-17,64.29,78.95,59.83,77.14,204364069
2007-10-18,78.38,84.28,71.25,74.44,146251255
2007-10-19,72.74,77.2,70.49,74.18,109990826
2007-10-22,72.69,75.48,70.77,73.2,72072773
2007-10-23,75.0,79.12,75.0,78.41,74408435
2007-10-24,80.08,80.92,76.33,77.2,62897532
2007-10-25,74.58,78.83,68.04,77.03,34436183
2007-10-26,78.38,80.61,76.27,79.34,62214100
2007-10-29,80.64,82.89,80.24,80.95,43548553
2007-10-30,82.05,84.98,79.62,82.75,79721907
2007-10-31,83.18,86.33,82.89,84.47,44543730
2007-11-01,86.56,87.21,81.91,82.58,50505911
2007-11-02,79.6,84.59,78.95,84.08,31921689
2007-11-05,84.02,87.69,83.52,85.8,38736053
2007-11-06,87.29,92.42,85.74,86.93,81675581
2007-11-07,88.53,89.77,83.74,85.66,33509160
2007-11-08,83.46,86.48,82.33,84.19,27920545
2007-11-09,87.41,87.41,82.73,83.85,8624987
2007-11-12,81.65,87.74,79.43,86.22,35065851
2007-11-13,87.69,90.06,84.9,88.28,43720954
2007-11-14,89.83,91.07,86.67,87.12,36646732
2007-11-15,88.76,90.14,86.93,88.59,29169146
2007-11-16,88.2,89.97,86.95,87.97,18848057
2007-11-19,89.97,94.45,89.3,91.16,40614927
2007-11-20,90.79,93.33,88.65,89.75,26276316
2007-11-21,90.28,90.82,80.75,82.75,26747464
2007-11-22,81.88,85.21,76.44,79.91,34010945
2007-11-23,85.15,85.71,80.41,85.21,27594930
2007-11-26,88.36,88.36,85.21,85.88,20108726
2007-11-27,87.35,87.35,82.89,83.77,20521766
2007-11-28,85.6,86.0,81.96,82.53,16394223
2007-11-29,84.59,85.04,79.26,80.3,25467140
2007-11-30,81.77,83.91,80.64,83.4,18391627
2007-12-03,84.42,85.63,83.77,84.59,16809100
2007-12-04,85.15,85.86,82.87,83.49,13973706
2007-12-05,83.63,87.12,83.46,86.81,27655977
2007-12-06,88.7,90.03,84.11,85.21,24044449
2007-12-07,85.74,86.95,83.32,84.84,11713030
2007-12-10,85.66,85.97,83.83,84.92,8309186
2007-12-11,85.69,86.17,84.11,84.53,11656736
2007-12-12,83.46,85.24,82.89,84.47,16301276
2007-12-13,85.07,85.71,82.73,83.06,14595302
2007-12-14,82.78,83.54,81.82,82.25,10964372
2007-12-17,82.73,83.18,76.13,77.28,19307290
2007-12-18,76.41,79.51,74.55,76.95,21553764
2007-12-19,79.43,80.1,74.89,75.54,19478095
2007-12-20,76.52,77.14,74.44,74.77,17062441
2007-12-24,75.9,78.27,75.28,77.06,16669741
2007-12-26,77.48,80.36,77.48,79.4,20877769
2007-12-27,81.03,82.16,79.29,79.96,44453865
2007-12-28,79.79,80.92,78.95,80.58,18308631
2007-12-31,81.2,81.65,80.19,81.17,11952353
2008-01-01,81.6,83.43,80.84,82.67,16646028
2008-01-02,82.67,83.29,81.01,82.22,13403687
2008-01-03,81.71,85.94,80.72,85.6,31735680
2008-01-04,86.84,87.97,84.59,85.15,27941282
2008-01-07,84.61,86.39,83.54,84.45,15818419
2008-01-08,84.53,85.71,80.58,81.57,13249461
2008-01-09,81.65,82.02,80.08,80.27,13080743
2008-01-10,80.64,82.89,77.82,78.36,17977946
2008-01-11,79.43,80.3,76.41,79.54,11600366
2008-01-14,79.68,81.6,78.41,80.75,10238580
2008-01-15,82.05,82.39,77.65,78.3,11529438
2008-01-16,77.74,78.38,74.75,76.69,14796980
2008-01-17,76.97,80.5,75.34,78.75,16128972
2008-01-18,78.1,78.19,74.44,75.08,13221021
2008-01-21,74.44,74.44,54.28,62.31,33119384
2008-01-22,56.17,59.21,44.52,56.05,58608819
2008-01-23,56.95,64.71,56.95,62.31,28354926
2008-01-24,65.67,66.88,59.49,62.45,29837150
2008-01-25,65.41,65.98,63.02,65.67,12519345
2008-01-28,64.77,66.88,59.49,66.37,13567107
2008-01-29,66.54,67.5,64.29,65.27,7660678
2008-01-30,65.41,65.7,60.85,61.66,8993562
2008-01-31,62.31,62.48,56.95,57.63,41434718
2008-02-01,58.62,60.06,58.08,59.63,9066478
2008-02-04,60.76,63.44,60.76,62.71,11979362
2008-02-05,62.82,65.5,61.47,64.65,14556820
2008-02-06,62.88,64.85,60.51,64.09,12398145
2008-02-07,63.21,65.39,60.68,61.07,11271829
2008-02-08,61.47,61.97,58.39,59.49,13480413
2008-02-11,60.34,60.34,54.7,55.29,15095498
2008-02-12,56.95,57.32,53.85,54.3,10212033
2008-02-13,55.26,55.97,52.42,53.52,10369764
2008-02-14,54.7,58.79,54.7,58.2,12482720
2008-02-15,57.97,60.34,56.42,59.86,12050788
2008-02-18,61.21,61.21,59.01,59.52,6959712
2008-02-19,60.59,60.73,58.42,58.87,7208476
2008-02-20,58.31,58.34,56.76,57.41,5590987
2008-02-21,58.34,58.79,57.1,57.8,3864679
2008-02-22,55.88,57.43,55.29,57.07,2684493
2008-02-25,57.74,58.25,56.17,57.55,6254512
2008-02-26,58.08,58.59,57.49,57.77,7121576
2008-02-27,58.62,64.17,58.62,61.16,43115075
2008-02-28,61.75,63.36,60.9,62.88,35674438
2008-02-29,62.48,63.72,60.96,61.97,16436269
2008-03-03,59.27,61.35,58.7,59.38,10024031
2008-03-04,59.77,60.0,56.39,57.86,11456486
2008-03-05,58.14,59.21,56.45,58.93,8559602
2008-03-07,58.08,58.08,53.57,55.91,14216295
2008-03-10,55.71,55.83,52.25,55.43,11684376
2008-03-11,54.98,60.56,53.68,60.0,19615967
2008-03-12,61.64,62.03,57.91,58.48,12231694
2008-03-13,56.95,57.52,49.06,50.44,46882584
2008-03-14,51.85,54.14,50.81,53.91,35709044
2008-03-17,52.89,52.89,50.7,51.8,19163246
2008-03-18,51.71,53.26,50.86,52.25,12601356
2008-03-19,54.7,58.53,52.22,52.56,16407901
2008-03-24,54.53,54.53,51.91,53.06,11607822
2008-03-25,54.45,55.4,53.46,55.07,13199342
2008-03-26,54.7,56.05,54.14,54.73,11419693
2008-03-27,53.91,56.25,53.91,55.71,17381560
2008-03-28,55.97,56.25,54.36,55.83,11570513
2008-03-31,55.83,56.08,54.7,55.43,9889919
2008-04-01,55.83,56.33,54.84,55.55,6019502
2008-04-02,55.83,58.08,55.83,56.45,6071806
2008-04-03,56.59,56.84,55.55,56.0,3873766
2008-04-04,56.36,56.36,54.64,55.71,5891771
2008-04-07,55.8,56.05,54.84,55.49,4078508
2008-04-08,55.4,55.52,53.68,54.08,5739428
2008-04-09,54.25,54.7,53.6,54.22,3766934
2008-04-10,54.14,55.69,53.94,55.29,7057609
2008-04-11,55.83,56.11,54.98,55.55,4002628
2008-04-15,55.21,56.67,54.25,56.39,6346878
2008-04-16,56.95,57.35,55.4,55.63,4713980
2008-04-17,56.48,59.1,55.86,57.77,14794090
2008-04-21,58.65,59.72,58.08,58.7,7620263
2008-04-22,58.65,60.34,58.08,59.66,8792732
2008-04-23,59.77,60.42,58.93,59.72,5252440
2008-04-24,60.34,60.45,57.1,57.6,8779776
2008-04-25,58.65,58.9,57.29,58.08,4085750
2008-04-28,58.14,59.44,58.08,58.31,4696473
2008-04-29,58.65,59.69,58.36,59.13,6480901
2008-04-30,59.72,60.28,59.21,59.52,6315549
2008-05-02,60.42,61.75,59.94,60.06,5644272
2008-05-05,60.85,61.18,59.38,59.77,7623187
2008-05-06,59.3,60.45,58.93,59.27,5048513
2008-05-07,59.21,59.61,57.52,58.42,4292348
2008-05-08,57.97,58.31,57.38,57.72,3632968
2008-05-09,56.95,58.87,56.5,57.38,8600207
2008-05-12,57.38,57.8,56.11,57.38,4878169
2008-05-13,57.63,57.97,57.07,57.55,5044125
2008-05-14,56.39,57.94,56.39,57.63,2975030
2008-05-15,56.39,58.31,56.39,57.66,2640143
2008-05-16,58.08,58.28,57.41,58.11,4411234
2008-05-20,57.52,58.22,57.41,58.0,3456251
