timestamp,open,high,low,close,volume
2005-05-30,53.31,53.63,52.66,52.84,2312274
2005-05-31,52.86,53.95,52.6,53.66,5493138
2005-06-01,53.96,54.58,53.76,54.26,4464600
2005-06-02,54.56,54.69,53.01,53.14,3879756
2005-06-03,52.96,55.75,52.96,55.48,9514792
2005-06-04,55.77,56.44,55.27,55.69,4088104
2005-06-06,55.56,56.78,55.06,55.39,6342508
2005-06-07,55.36,55.75,54.66,54.95,4266392
2005-06-08,55.3,56.17,55.16,56.01,5245184
2005-06-09,56.25,56.54,55.84,56.07,4102250
2005-06-10,56.27,57.11,56.27,56.83,6393980
2005-06-13,56.86,60.17,56.23,57.13,3304020
2005-06-14,57.27,57.67,56.65,57.58,3354964
2005-06-15,56.94,57.87,56.94,57.67,3515620
2005-06-16,57.87,59.68,57.77,59.2,8336628
2005-06-17,59.18,60.74,58.57,60.2,9148216
2005-06-20,62.69,64.76,61.82,63.24,24419654
2005-06-21,63.39,64.99,62.29,64.81,16694062
2005-06-22,64.49,66.2,64.39,65.65,13006776
2005-06-23,65.62,65.7,64.86,65.25,6496198
2005-06-24,65.09,66.05,64.5,65.66,6532162
2005-06-27,64.99,67.7,64.72,65.06,12606500
2005-06-28,67.2,67.2,62.9,63.14,10144172
2005-06-29,63.59,64.89,63.46,64.38,8948620
2005-06-30,64.99,65.51,63.85,64.45,7290870
2005-07-01,64.49,64.69,63.95,64.2,3560310
2005-07-04,64.39,65.14,64.09,64.63,3865480
2005-07-05,64.59,64.99,63.83,64.0,4762848
2005-07-06,63.93,64.89,63.93,64.71,3401882
2005-07-07,64.33,64.33,61.11,61.58,8851536
2005-07-08,62.99,62.99,61.68,62.22,5614556
2005-07-11,62.0,63.79,62.0,63.58,4178460
2005-07-12,63.68,64.59,63.24,64.02,5200938
2005-07-13,64.19,64.33,63.1,63.28,2775526
2005-07-14,63.35,64.88,62.3,64.34,8537314
2005-07-15,64.49,67.2,64.49,66.86,7193188
2005-07-18,66.9,67.49,66.02,66.38,7943150
2005-07-19,66.6,67.38,66.31,66.66,5358430
2005-07-20,66.8,68.5,66.8,68.11,5903084
2005-07-21,67.8,68.83,67.26,68.03,5038266
2005-07-22,68.2,69.35,68.02,69.16,3877310
