timestamp,open,high,low,close,volume
2005-05-30,11.06,11.36,10.9,10.94,46735
2005-05-31,10.94,11.36,10.9,11.0,135330
2005-06-01,10.92,11.59,10.92,11.47,290845
2005-06-02,11.31,11.45,11.0,11.02,75500
2005-06-03,11.26,12.13,11.07,12.13,549210
2005-06-04,12.75,13.35,12.27,13.35,1113275
2005-06-06,13.3,13.77,12.73,12.81,951200
2005-06-07,12.8,13.4,12.8,13.36,565605
2005-06-08,13.48,13.48,12.7,12.75,481605
2005-06-09,12.81,12.81,12.2,12.28,153200
2005-06-10,12.4,12.56,11.96,12.02,230990
2005-06-13,12.1,12.63,11.81,12.63,279730
2005-06-14,12.77,13.2,12.22,12.4,733970
2005-06-15,12.6,13.02,12.3,13.02,538910
2005-06-16,13.0,13.2,12.37,12.47,766265
2005-06-17,12.69,12.69,11.85,12.19,335805
2005-06-20,12.64,12.64,11.61,12.09,196860
2005-06-21,11.8,12.17,11.8,11.88,100095
2005-06-22,12.05,12.05,11.42,11.47,74980
2005-06-23,11.75,11.75,11.43,11.47,157565
2005-06-24,11.62,11.92,11.6,11.67,92055
2005-06-27,11.98,11.98,11.4,11.54,148860
2005-06-28,11.6,11.79,11.21,11.43,183950
2005-06-29,11.7,12.01,11.7,12.01,432180
2005-06-30,12.09,12.61,12.09,12.56,841445
2005-07-01,12.03,12.64,12.03,12.45,259735
2005-07-04,13.0,13.08,13.0,13.08,585805
2005-07-05,13.62,13.74,13.4,13.5,1859450
2005-07-06,13.69,14.18,13.4,14.18,1345230
2005-07-07,14.33,14.74,13.61,13.86,1084650
2005-07-08,14.28,14.4,13.7,14.05,453685
2005-07-11,14.6,14.76,14.4,14.76,252300
2005-07-12,14.81,15.5,14.81,15.5,719145
2005-07-13,15.78,16.28,15.78,16.0,1189265
2005-07-14,15.85,16.4,15.2,15.2,401275
2005-07-15,14.8,15.96,14.44,15.96,1133070
2005-07-18,16.36,16.76,15.9,15.99,732055
2005-07-19,16.15,16.5,15.8,16.32,657800
2005-07-20,16.59,16.7,15.8,16.5,359265
2005-07-21,16.59,16.9,16.1,16.38,759765
2005-07-22,16.4,16.65,16.04,16.15,366885
2005-07-25,16.38,16.6,15.5,15.6,294420
2005-07-26,16.25,16.25,15.4,15.51,199115
2005-07-27,15.02,15.56,15.02,15.39,95385
2005-07-29,15.6,16.0,14.8,14.91,400870
2005-08-01,14.62,14.8,14.17,14.21,242630
2005-08-02,14.4,14.7,13.62,14.44,379755
2005-08-03,14.98,15.17,14.6,15.15,290535
2005-08-04,15.5,15.91,15.11,15.74,708065
2005-08-05,15.78,15.79,15.3,15.42,248850
2005-08-08,15.45,15.45,15.2,15.21,223055
2005-08-09,15.45,15.45,15.05,15.25,187895
2005-08-10,15.42,16.78,15.4,16.78,1126395
2005-08-11,16.9,17.37,16.25,16.43,547545
2005-08-12,16.5,17.16,16.2,16.86,503770
2005-08-16,16.82,17.2,16.63,16.76,390605
2005-08-17,16.8,17.28,16.8,17.05,532370
2005-08-18,17.8,17.8,16.8,16.9,522000
2005-08-19,16.7,17.4,16.7,16.92,251365
2005-08-22,17.33,18.55,17.0,17.95,1238425
2005-08-23,18.0,18.4,17.0,17.16,505050
2005-08-24,15.9,18.55,15.81,18.23,1932145
2005-08-25,18.4,19.0,18.1,18.69,1248525
2005-08-26,18.89,18.89,17.79,17.91,531580
2005-08-29,18.02,18.2,17.24,17.41,273595
2005-08-30,17.6,18.4,17.5,18.27,372385
2005-08-31,18.0,20.1,18.0,20.1,916365
2005-09-01,20.8,22.11,20.2,21.08,1712035
2005-09-02,21.38,21.76,20.1,20.87,1475505
2005-09-05,21.7,21.7,19.82,20.49,515385
2005-09-06,20.52,20.62,19.67,20.08,517645
2005-09-08,20.17,20.98,20.17,20.58,295250
2005-09-09,20.9,21.2,20.23,21.01,653795
2005-09-12,21.0,23.12,21.0,23.12,973725
2005-09-13,23.22,24.14,21.8,23.87,1716115
2005-09-14,24.18,25.54,23.02,23.57,1662425
2005-09-15,23.08,25.0,23.08,23.36,683050
2005-09-16,23.4,24.2,22.9,23.25,576340
2005-09-19,23.6,24.78,23.1,23.44,531960
2005-09-20,23.75,25.0,23.36,24.09,2367735
2005-09-21,26.0,26.49,23.2,25.38,4114225
2005-09-22,24.7,25.4,23.22,23.62,1600185
2005-09-23,24.1,24.2,22.44,23.85,805510
2005-09-26,25.98,25.98,23.4,23.94,639990
2005-09-27,22.0,24.19,22.0,22.76,342790
2005-09-28,23.2,24.68,22.34,23.97,2769365
2005-09-29,24.24,24.32,23.0,23.82,764215
2005-09-30,23.01,24.4,23.0,24.13,660535
2005-10-03,24.4,26.55,24.2,26.45,1401930
2005-10-04,27.0,29.1,26.6,28.42,3397060
2005-10-05,28.4,28.4,27.0,27.68,1014280
2005-10-06,27.0,27.1,26.3,26.3,289990
2005-10-07,25.5,25.95,24.99,24.99,333955
2005-10-10,24.96,24.96,23.74,24.28,480290
2005-10-11,24.45,24.8,24.0,24.17,263230
2005-10-13,24.5,25.2,23.01,23.78,365690
2005-10-14,23.6,24.4,22.59,23.45,940295
2005-10-17,23.58,23.72,22.81,23.09,211430
2005-10-18,23.36,23.6,21.94,22.12,154935
2005-10-19,21.94,21.94,21.02,21.02,106690
2005-10-20,21.6,21.99,19.97,19.97,524310
2005-10-21,19.6,19.6,18.98,18.98,52350
2005-10-24,18.94,19.2,18.03,18.03,1024185
2005-10-25,17.22,18.94,17.21,18.92,854615
2005-10-26,19.0,19.87,19.0,19.82,428255
2005-10-27,19.98,20.38,19.0,19.02,196120
2005-10-28,18.44,19.11,18.4,18.63,149100
2005-10-31,18.6,19.2,18.4,18.66,149865
2005-11-01,19.4,19.6,19.0,19.45,114005
2005-11-02,19.02,19.6,18.8,18.92,96425
2005-11-07,19.6,19.6,18.6,18.97,198665
2005-11-08,19.0,19.0,18.61,18.79,206425
2005-11-09,19.55,19.55,18.4,18.57,106510
2005-11-10,18.6,19.35,18.4,18.72,360385
2005-11-11,18.8,19.66,18.8,19.66,454640
2005-11-14,20.17,20.64,19.66,19.71,293775
2005-11-16,19.72,20.4,19.66,19.76,286755
2005-11-17,19.71,19.98,19.5,19.66,252060
2005-11-18,19.95,20.18,18.83,19.11,95395
2005-11-21,19.12,19.6,18.8,19.01,81530
2005-11-22,18.8,19.96,18.8,19.96,276060
2005-11-23,20.45,20.96,20.2,20.96,334255
2005-11-24,21.57,22.01,21.24,22.01,415970
2005-11-25,23.0,23.1,22.4,22.83,710135
2005-11-26,23.2,23.2,21.72,21.82,106960
2005-11-28,21.85,22.14,20.73,20.77,375795
2005-11-29,20.9,21.0,20.43,20.77,134620
2005-11-30,21.2,21.78,21.1,21.41,191345
2005-12-01,21.72,22.48,21.5,22.48,461825
2005-12-02,23.3,23.61,23.03,23.59,794440
2005-12-05,24.3,24.77,22.9,23.89,1570815
2005-12-06,23.8,23.8,22.7,22.72,207065
2005-12-07,22.98,22.98,21.8,21.97,144425
2005-12-08,22.02,22.5,21.5,21.85,170245
2005-12-09,21.9,22.2,21.4,21.81,190815
2005-12-12,21.2,22.0,21.2,21.59,215890
2005-12-13,21.51,21.65,21.41,21.57,301040
2005-12-14,21.6,22.6,21.6,22.14,349145
2005-12-15,22.87,23.0,22.2,22.28,180925
2005-12-16,22.5,24.51,22.2,23.89,1511555
2005-12-19,24.16,24.7,23.6,23.61,1314710
2005-12-20,23.6,24.45,23.4,23.55,619000
2005-12-21,23.82,23.96,23.6,23.69,374145
2005-12-22,23.61,23.92,23.6,23.6,327320
2005-12-23,23.75,23.86,22.01,23.13,141380
2005-12-26,23.0,23.13,21.6,21.96,211895
2005-12-27,21.8,22.35,21.8,22.24,97795
2005-12-28,22.4,22.6,22.25,22.45,90560
2005-12-29,22.5,22.7,22.4,22.65,210105
2005-12-30,22.65,22.9,22.51,22.76,226260
2006-01-02,22.62,23.2,22.62,22.9,153155
2006-01-03,23.4,23.8,23.05,23.66,286050
2006-01-04,24.0,25.36,23.8,24.69,610755
2006-01-05,24.8,25.38,24.04,24.07,462465
2006-01-06,24.12,24.32,23.51,23.83,138420
2006-01-09,23.88,24.09,23.41,23.54,129625
2006-01-10,23.6,25.16,23.4,24.17,496965
2006-01-12,23.9,24.5,23.6,23.76,218310
2006-01-13,24.0,24.25,22.91,23.03,419175
2006-01-16,23.3,23.3,22.11,22.52,456515
2006-01-17,22.8,22.97,22.6,22.72,136690
2006-01-18,22.41,22.41,21.91,22.09,117925
2006-01-19,22.64,23.88,22.46,23.54,349750
2006-01-20,24.09,24.1,23.1,23.31,126825
2006-01-23,23.0,23.14,22.71,22.95,93200
2006-01-24,22.95,23.19,22.8,22.97,82905
2006-01-25,23.2,24.0,23.0,23.84,303390
2006-01-27,24.4,24.5,23.26,23.41,191855
2006-01-30,23.2,23.64,23.0,23.44,136970
2006-01-31,23.5,23.58,22.8,23.12,256765
2006-02-01,23.61,24.6,23.51,23.73,471940
2006-02-02,24.4,25.0,24.0,24.21,541615
2006-02-03,24.2,24.69,23.65,23.73,282480
2006-02-06,23.7,24.28,23.5,24.04,229960
2006-02-07,24.0,24.3,23.8,24.12,220470
2006-02-08,23.8,23.8,23.5,23.6,161725
2006-02-10,24.2,24.2,23.41,23.43,44950
2006-02-13,24.05,24.05,23.01,23.11,108650
2006-02-14,23.21,23.21,22.7,23.05,200230
2006-02-15,23.0,23.32,22.93,23.02,56530
2006-02-16,23.0,23.1,22.01,22.14,287110
2006-02-17,22.22,22.78,22.21,22.38,364545
2006-02-20,22.2,22.3,20.6,21.23,895200
2006-02-21,22.0,23.36,21.74,22.43,7495935
2006-02-22,22.61,22.61,21.75,21.92,333075
2006-02-23,21.8,22.1,21.5,21.78,186960
2006-02-24,21.62,22.0,21.36,21.49,522395
2006-02-27,23.0,25.6,22.4,22.96,4604670
2006-02-28,23.16,23.5,23.14,23.21,1415740
2006-03-01,22.5,23.45,22.41,23.2,1093995
2006-03-02,23.38,23.51,22.83,23.12,624830
2006-03-03,22.98,23.3,22.2,22.39,394605
2006-03-06,23.0,23.58,22.98,23.01,412850
2006-03-07,23.3,23.75,22.71,23.41,539795
