timestamp,open,high,low,close,volume
2005-05-30,55.21,55.76,54.82,55.11,116943
2005-05-31,54.53,56.98,54.53,56.56,254767
2005-06-01,56.99,57.72,56.79,57.28,227878
2005-06-02,56.43,58.77,56.43,58.41,329876
2005-06-03,58.29,58.57,57.46,57.85,177733
2005-06-04,57.78,57.88,57.33,57.6,18500
2005-06-06,57.69,58.66,57.68,58.03,104503
2005-06-07,58.47,59.95,57.69,59.58,187527
2005-06-08,59.56,60.25,58.81,59.12,268069
2005-06-09,59.46,59.61,57.9,58.2,150708
2005-06-10,58.47,58.97,57.12,57.54,188302
2005-06-13,58.67,58.67,56.79,57.48,105881
2005-06-14,58.18,58.28,57.3,57.99,140270
2005-06-15,57.98,58.67,57.89,58.06,82590
2005-06-16,57.42,58.55,57.4,57.84,46568
2005-06-17,58.37,58.37,56.89,57.53,58000
2005-06-20,57.78,57.88,56.79,56.88,29131
2005-06-21,56.5,57.88,56.33,57.39,71205
2005-06-22,57.49,58.67,57.3,58.05,187205
2005-06-23,57.94,58.92,57.83,58.64,107021
2005-06-24,58.74,62.21,58.28,61.69,571241
2005-06-27,61.73,63.55,61.24,63.11,408716
2005-06-28,63.02,63.02,60.45,60.87,195757
2005-06-29,60.26,61.72,59.76,60.93,209357
2005-06-30,61.63,62.23,60.48,61.25,304800
2005-07-01,61.34,63.21,60.94,62.96,174967
2005-07-04,63.02,63.68,62.62,63.15,200042
2005-07-05,62.92,63.12,61.54,62.4,84337
2005-07-06,62.4,62.72,62.14,62.33,207947
2005-07-07,61.44,63.02,61.44,62.2,174942
2005-07-08,62.2,63.02,61.74,62.1,42619
2005-07-11,62.1,65.19,61.27,63.96,241305
2005-07-12,64.6,64.6,62.92,63.74,183873
2005-07-13,64.1,64.1,62.42,63.1,132608
2005-07-14,63.0,65.09,62.23,63.03,160959
2005-07-15,63.71,65.19,63.21,63.81,164133
2005-07-18,64.38,67.46,63.31,66.38,223005
2005-07-19,66.67,66.78,64.42,64.85,81792
2005-07-20,64.85,65.68,64.03,64.41,102177
2005-07-21,63.71,64.09,62.93,63.23,60164
2005-07-22,63.6,66.17,63.36,65.92,214376
2005-07-25,65.98,66.66,64.9,66.11,71825
2005-07-26,67.16,69.04,65.29,66.62,111197
2005-07-27,65.58,66.57,64.7,66.2,26562
2005-07-29,67.17,68.15,65.68,67.11,164943
2005-08-01,67.17,67.96,65.94,67.61,85750
2005-08-02,67.66,68.6,66.79,68.36,60797
2005-08-03,68.94,69.44,66.29,68.91,141158
2005-08-04,69.83,70.2,68.25,69.85,150960
2005-08-05,69.14,71.26,69.14,70.84,130787
2005-08-08,70.63,72.58,70.29,72.17,88190
2005-08-09,72.6,72.6,71.02,71.81,87163
2005-08-10,72.49,74.77,72.49,74.44,292222
2005-08-11,74.77,81.16,74.57,79.38,736489
2005-08-12,80.01,80.5,77.15,77.96,385665
2005-08-16,78.53,80.48,77.54,79.58,483001
2005-08-17,80.01,81.44,79.33,81.13,243793
2005-08-18,81.98,84.94,81.59,82.46,232157
2005-08-19,82.18,82.88,80.81,81.37,119983
2005-08-22,81.34,81.88,80.1,80.45,89610
2005-08-23,80.8,80.8,78.83,79.05,74928
2005-08-24,79.12,79.76,77.54,79.17,333280
2005-08-25,79.91,82.47,79.24,81.33,209303
2005-08-26,81.59,82.97,80.71,80.96,163632
2005-08-29,80.11,81.48,79.25,79.83,113584
2005-08-30,79.61,80.89,79.51,79.81,127736
2005-08-31,80.2,81.48,79.81,80.93,113689
2005-09-01,81.27,81.49,80.01,81.01,82963
2005-09-02,81.48,82.66,80.99,82.18,104878
2005-09-05,81.1,83.34,81.1,81.86,131956
2005-09-06,82.08,82.97,81.44,82.1,48800
2005-09-08,82.67,84.0,82.33,83.63,165524
2005-09-09,81.99,83.86,81.99,82.82,63339
2005-09-12,82.82,83.86,82.82,83.09,50828
2005-09-13,83.17,83.46,82.48,82.91,137500
2005-09-14,82.82,84.21,82.67,83.49,139353
2005-09-15,83.66,86.91,83.66,84.69,142161
2005-09-16,85.44,85.83,84.07,84.59,107469
2005-09-19,84.35,84.75,83.18,84.3,119899
2005-09-20,84.45,85.25,83.57,83.9,121330
2005-09-21,85.44,86.82,84.16,85.24,589497
2005-09-22,85.93,86.42,83.47,83.88,293731
2005-09-23,84.45,84.65,81.49,83.57,142943
2005-09-26,84.35,85.93,84.06,85.51,132429
