timestamp,open,high,low,close,volume
2005-05-30,40.73,40.78,39.66,39.8,622456
2005-05-31,39.94,40.56,39.77,40.26,431762
2005-06-01,40.33,40.56,39.6,40.01,535546
2005-06-02,40.22,40.43,39.38,39.42,462270
2005-06-03,39.87,40.78,39.44,40.59,834026
2005-06-04,40.51,40.78,40.12,40.65,293538
2005-06-06,40.22,40.69,40.05,40.29,668602
2005-06-07,40.26,41.62,40.26,41.15,1181990
2005-06-08,39.86,41.43,39.86,41.31,498306
2005-06-09,40.85,41.34,40.78,40.83,432674
2005-06-10,41.13,41.6,40.56,40.71,602322
2005-06-13,40.73,40.94,40.28,40.61,350438
2005-06-14,40.61,40.93,40.28,40.68,349568
2005-06-15,40.67,41.46,40.5,41.26,699494
2005-06-16,40.78,41.51,40.78,41.32,732634
2005-06-17,38.39,41.96,38.39,41.84,639534
2005-06-20,41.63,42.73,41.63,42.56,911074
2005-06-21,42.58,43.31,42.24,42.54,1010384
2005-06-22,42.53,43.03,42.28,42.71,1232832
2005-06-23,42.47,42.86,42.3,42.56,640718
2005-06-24,42.47,42.55,41.75,42.18,787914
2005-06-27,42.18,42.81,42.16,42.44,805538
2005-06-28,42.36,42.63,41.41,41.66,976168
2005-06-29,41.61,42.64,40.89,42.39,1148958
2005-06-30,41.46,43.65,41.06,43.1,3632228
2005-07-01,42.19,42.75,41.14,41.9,857554
2005-07-04,42.15,42.27,41.63,41.99,518200
2005-07-05,42.47,42.64,41.29,41.41,645638
2005-07-06,41.91,42.08,40.95,41.36,733926
2005-07-07,42.02,43.03,39.38,39.97,1233704
2005-07-08,40.78,41.5,40.39,40.66,688654
2005-07-11,41.4,41.63,40.22,40.32,573346
2005-07-12,40.28,40.39,39.16,39.51,1386234
2005-07-13,39.54,40.31,39.38,39.89,988710
2005-07-14,39.94,40.22,39.09,39.17,540446
2005-07-15,39.83,39.83,38.93,39.63,509318
2005-07-18,39.83,40.39,39.83,39.99,787128
2005-07-19,40.43,40.43,39.96,40.19,543770
2005-07-20,40.28,40.61,40.22,40.35,367606
2005-07-21,40.61,40.67,39.71,40.03,305088
2005-07-22,40.22,40.39,38.84,40.24,1264632
2005-07-25,40.47,40.49,39.66,40.12,876808
2005-07-26,39.66,40.23,39.52,39.86,671130
2005-07-27,39.94,41.06,39.66,40.94,620386
2005-07-29,40.56,41.91,40.56,41.42,959650
2005-08-01,41.06,41.51,40.22,40.71,576888
2005-08-02,42.16,42.16,40.5,40.74,440208
2005-08-03,41.23,41.57,40.95,41.17,659346
2005-08-04,41.46,41.57,40.78,41.15,436526
2005-08-05,41.29,41.29,40.5,40.6,494938
2005-08-08,40.73,40.77,39.47,39.63,689208
2005-08-09,40.2,40.5,39.4,40.28,690552
2005-08-10,40.49,40.95,40.16,40.93,580664
2005-08-11,40.95,41.39,40.78,41.23,548374
2005-08-12,41.23,41.63,39.72,40.21,631258
2005-08-16,40.77,41.05,40.23,40.53,570150
2005-08-17,41.05,42.06,40.13,40.74,563126
2005-08-18,40.84,41.12,40.57,41.0,574728
2005-08-19,41.06,41.28,40.34,40.5,676702
2005-08-22,41.46,42.81,40.5,40.79,1371676
2005-08-23,41.29,41.51,39.68,40.13,1511796
2005-08-24,40.78,40.78,39.49,39.74,892662
2005-08-25,39.83,41.69,39.41,41.34,1729988
2005-08-26,41.27,41.62,39.95,40.45,1091192
2005-08-29,40.82,40.82,39.45,39.57,968578
2005-08-30,39.71,40.73,39.71,40.38,973512
2005-08-31,40.28,41.16,39.62,41.02,1058682
2005-09-01,41.51,42.19,41.35,41.87,2061162
2005-09-02,41.85,42.36,41.21,42.11,1711008
2005-09-05,42.11,42.75,41.69,42.46,1663706
2005-09-06,42.58,42.74,42.19,42.53,1155120
2005-09-08,42.74,42.84,41.85,41.99,725448
2005-09-09,42.62,42.62,41.35,41.79,864222
2005-09-12,42.19,42.29,41.74,41.86,714674
2005-09-13,42.19,42.53,41.65,41.96,1647228
2005-09-14,42.06,42.94,41.94,42.77,2066810
2005-09-15,42.77,43.3,42.77,43.03,915784
2005-09-16,43.2,43.31,42.56,43.04,823016
2005-09-19,43.2,43.31,42.64,42.74,984618
2005-09-20,42.86,43.05,42.08,42.34,1603772
2005-09-21,42.19,42.74,41.63,42.03,1123162
2005-09-22,42.2,42.2,39.49,40.06,1129498
2005-09-23,40.48,40.82,39.66,40.25,626190
2005-09-26,40.5,42.13,40.46,42.05,874688
2005-09-27,42.08,42.63,41.74,42.32,1131418
2005-09-28,42.3,42.3,39.6,41.88,1987746
2005-09-29,41.93,42.74,41.74,42.29,5165526
2005-09-30,42.19,42.53,41.66,41.79,1073482
2005-10-03,42.21,42.98,42.08,42.76,1223026
2005-10-04,42.86,45.23,42.75,45.11,3845304
2005-10-05,45.34,46.55,45.23,45.5,2755156
2005-10-06,45.34,45.45,43.44,43.91,2705872
2005-10-07,43.99,44.57,43.03,43.68,2046298
2005-10-10,43.88,44.83,43.67,44.37,1596756
